split,filename,writer,page_id,language,same_text,selected_darkness_min,selected_darkness_mean,selected_darkness_median,selected_darkness_max
fit,0001_1.jpg,1,1,Arabic,0,0.036903560161590576,0.05482552945613861,0.04233621060848236,0.20091944932937622
fit,0001_2.jpg,1,2,Arabic,1,0.04554576426744461,0.052039891481399536,0.049960680305957794,0.07467111945152283
fit,0001_3.jpg,1,3,English,0,0.04546768218278885,0.05834202095866203,0.05173575133085251,0.13584230840206146
fit,0001_4.jpg,1,4,English,1,0.05328228697180748,0.06405652314424515,0.061253681778907776,0.08891218900680542
fit,0002_1.jpg,2,1,Arabic,0,0.0416032150387764,0.05172913148999214,0.05111667886376381,0.08069810271263123
fit,0002_2.jpg,2,2,Arabic,1,0.05203406512737274,0.05799078941345215,0.05717378109693527,0.07778984308242798
fit,0002_3.jpg,2,3,English,0,0.06288313120603561,0.07716059684753418,0.07601715624332428,0.10034773498773575
fit,0002_4.jpg,2,4,English,1,0.02347671240568161,0.02659163437783718,0.026433933526277542,0.03831426054239273
fit,0003_1.jpg,3,1,Arabic,0,0.05042546987533569,0.05869264528155327,0.0577184297144413,0.08283717185258865
fit,0003_2.jpg,3,2,Arabic,1,0.0540907196700573,0.060746174305677414,0.05991807579994202,0.07619015872478485
fit,0003_3.jpg,3,3,English,0,0.044375136494636536,0.054168879985809326,0.052093520760536194,0.15874087810516357
fit,0003_4.jpg,3,4,English,1,0.05266521871089935,0.05925910547375679,0.05796496197581291,0.07771996408700943
fit,0007_1.jpg,7,1,Arabic,0,0.031389977782964706,0.039172619581222534,0.03695784881711006,0.07744867354631424
fit,0007_2.jpg,7,2,Arabic,1,0.034084752202034,0.0407656766474247,0.03880308195948601,0.055935002863407135
fit,0007_3.jpg,7,3,English,0,0.04489970579743385,0.05604888126254082,0.054405778646469116,0.07777399569749832
fit,0007_4.jpg,7,4,English,1,0.05282767117023468,0.06208279728889465,0.059133876115083694,0.09504010528326035
fit,0008_1.jpg,8,1,Arabic,0,0.037849992513656616,0.048828307539224625,0.048382438719272614,0.1185235008597374
fit,0008_2.jpg,8,2,Arabic,1,0.04579778015613556,0.051321983337402344,0.04982123523950577,0.07284525036811829
fit,0008_3.jpg,8,3,English,0,0.05052828788757324,0.06363850086927414,0.06030798703432083,0.10768686234951019
fit,0008_4.jpg,8,4,English,1,0.07028426229953766,0.0886768028140068,0.08095432817935944,0.1663467437028885
fit,0011_1.jpg,11,1,Arabic,0,0.041348982602357864,0.049167800694704056,0.046759046614170074,0.10704367607831955
fit,0011_2.jpg,11,2,Arabic,1,0.050362568348646164,0.0576612614095211,0.05678028613328934,0.07884717732667923
fit,0011_3.jpg,11,3,English,0,0.04294067621231079,0.04878314211964607,0.047343067824840546,0.06047118455171585
fit,0011_4.jpg,11,4,English,1,0.046892017126083374,0.055692408233881,0.05341942608356476,0.08972218632698059
