fold,condition,train_writers,test_writers,test_pairs,projected_auc,projected_eer,local_auc,local_eer,fused_auc,fused_eer,fused_minus_projected_auc,fused_minus_projected_eer
1,variable_variable,116,29,841,0.9208425343978256,0.18657635467980296,0.6622643111941566,0.42549261083743845,0.9208425343978256,0.18657635467980296,0.0,0.0
1,variable_same,116,29,841,0.9266604382537795,0.1477832512315271,0.6183752335654832,0.41564039408867,0.9265755053507729,0.1477832512315271,-8.493290300659595e-05,0.0
1,same_variable,116,29,841,0.9100135892644811,0.21120689655172412,0.6179718022762019,0.44150246305418717,0.9100135892644811,0.21120689655172412,0.0,0.0
1,same_same,116,29,841,0.9239850518090708,0.17179802955665024,0.6387378970613216,0.36637931034482757,0.9240275182605742,0.17179802955665024,4.2466451503409e-05,0.0
2,variable_variable,116,29,841,0.914897231187362,0.14408866995073893,0.6897825717683029,0.3528325123152709,0.9151095634448785,0.14408866995073893,0.00021233225751648988,0.0
2,variable_same,116,29,841,0.8773144216069306,0.20197044334975367,0.5859945642942076,0.45874384236453203,0.8771870222524206,0.20197044334975367,-0.00012739935451000495,0.0
2,same_variable,116,29,841,0.874808900968235,0.20812807881773399,0.6219636487175131,0.41317733990147787,0.8746815016137252,0.20812807881773399,-0.00012739935450989393,0.0
2,same_same,116,29,841,0.885935111262103,0.2352216748768473,0.6451078647868185,0.4100985221674877,0.8861049770681162,0.23583743842364535,0.0001698658060131919,0.0006157635467980427
3,variable_variable,116,29,841,0.9483607949719721,0.12500000000000003,0.703499235603873,0.3725369458128079,0.9482333956174622,0.12500000000000003,-0.00012739935450989393,0.0
3,variable_same,116,29,841,0.9047477492780703,0.15270935960591137,0.6545354170205537,0.41502463054187194,0.9046203499235604,0.15332512315270938,-0.00012739935450989393,0.0006157635467980149
3,same_variable,116,29,841,0.960293867844403,0.09913793103448275,0.6907380669271276,0.3516009852216749,0.9596568710718533,0.10036945812807882,-0.0006369967725496917,0.0012315270935960715
3,same_same,116,29,841,0.9258535756752165,0.17733990147783252,0.6794632240529981,0.3854679802955665,0.9255987769661967,0.1791871921182266,-0.00025479870901978785,0.0018472906403940725
4,variable_variable,116,29,841,0.9306947511465942,0.14100985221674878,0.6434941396296925,0.4125615763546798,0.9309495498556141,0.13977832512315275,0.00025479870901989887,-0.0012315270935960299
4,variable_same,116,29,841,0.9031340241209445,0.16625615763546797,0.6384830983523015,0.4181034482758621,0.9033463563784612,0.16564039408866996,0.00021233225751671192,-0.0006157635467980149
4,same_variable,116,29,841,0.9076354679802956,0.14655172413793105,0.6165279429250892,0.4100985221674877,0.9075505350772889,0.14655172413793105,-8.493290300670697e-05,0.0
4,same_same,116,29,841,0.8991421776796331,0.1982758620689655,0.675089179548157,0.3509852216748769,0.8994819092916596,0.1791871921182266,0.0003397316120264948,-0.019088669950738907
5,variable_variable,116,29,841,0.9326906743672498,0.1644088669950739,0.6848564633939188,0.37192118226600984,0.9334126040428061,0.1644088669950739,0.0007219296755562876,0.0
5,variable_same,116,29,841,0.9399524375743162,0.10591133004926108,0.6426448105996263,0.4421182266009852,0.9397401053167997,0.10960591133004925,-0.00021233225751648988,0.003694581280788173
5,same_variable,116,29,841,0.9300577543740446,0.13546798029556653,0.6377611686767455,0.44150246305418717,0.930397485986071,0.13300492610837442,0.0003397316120263838,-0.0024630541871921152
5,same_same,116,29,841,0.9408017666043826,0.13793103448275865,0.6916935620859521,0.33251231527093594,0.9415661627314422,0.1391625615763547,0.0007643961270595856,0.0012315270935960576
