split,filename,writer,page_id,language,same_text,selected_darkness_min,selected_darkness_mean,selected_darkness_median,selected_darkness_max
selection,0006_1.jpg,6,1,Arabic,0,0.05672119930386543,0.06660542637109756,0.06647323071956635,0.0813739150762558
selection,0006_2.jpg,6,2,Arabic,1,0.044545747339725494,0.05194263532757759,0.048928190022706985,0.08325956016778946
selection,0006_3.jpg,6,3,English,0,0.06622039526700974,0.0836397036910057,0.07935312390327454,0.12882114946842194
selection,0006_4.jpg,6,4,English,1,0.05291467159986496,0.06259791553020477,0.05907946825027466,0.093541719019413
selection,0012_1.jpg,12,1,Arabic,0,0.0582689605653286,0.07274649292230606,0.06953214854001999,0.11945410072803497
selection,0012_2.jpg,12,2,Arabic,1,0.08273638784885406,0.09828536957502365,0.09188902378082275,0.14950516819953918
selection,0012_3.jpg,12,3,English,0,0.07632044702768326,0.08821103721857071,0.08575514703989029,0.11801281571388245
selection,0012_4.jpg,12,4,English,1,0.09933694452047348,0.11947663873434067,0.11502834409475327,0.15043070912361145
selection,0015_1.jpg,15,1,Arabic,0,0.03246461972594261,0.04022322967648506,0.038786448538303375,0.05992652475833893
selection,0015_2.jpg,15,2,Arabic,1,0.059614162892103195,0.06633973866701126,0.06528882682323456,0.08429194241762161
selection,0015_3.jpg,15,3,English,0,0.054738327860832214,0.0650811418890953,0.06313121318817139,0.08904591202735901
selection,0015_4.jpg,15,4,English,1,0.04654017090797424,0.05345776677131653,0.051509588956832886,0.06678370386362076
selection,0018_1.jpg,18,1,Arabic,0,0.04334775358438492,0.05141599848866463,0.04957524687051773,0.06849508732557297
selection,0018_2.jpg,18,2,Arabic,1,0.06587820500135422,0.07480739802122116,0.07370210438966751,0.0965680480003357
selection,0018_3.jpg,18,3,English,0,0.0607590489089489,0.07263696938753128,0.07077808678150177,0.09550600498914719
selection,0018_4.jpg,18,4,English,1,0.0738271102309227,0.08346085995435715,0.08042681217193604,0.1472053825855255
selection,0035_1.jpg,35,1,Arabic,0,0.09007535874843597,0.1068623885512352,0.10331106185913086,0.1499679684638977
selection,0035_2.jpg,35,2,Arabic,1,0.10816583782434464,0.11964955925941467,0.1167830303311348,0.14588996767997742
selection,0035_3.jpg,35,3,English,0,0.06041216850280762,0.07096338272094727,0.0698452889919281,0.09072376042604446
selection,0035_4.jpg,35,4,English,1,0.11601372808218002,0.13071753084659576,0.12853556871414185,0.20091037452220917
selection,0042_1.jpg,42,1,Arabic,0,0.0690285786986351,0.08301138132810593,0.07788129150867462,0.14002826809883118
selection,0042_2.jpg,42,2,Arabic,1,0.07794790714979172,0.09272783249616623,0.08847908675670624,0.14699308574199677
selection,0042_3.jpg,42,3,English,0,0.05685533955693245,0.06971831619739532,0.06766585260629654,0.09682102501392365
selection,0042_4.jpg,42,4,English,1,0.0698542669415474,0.08123557269573212,0.07691973447799683,0.1322888880968094
selection,0043_1.jpg,43,1,Arabic,0,0.05414467304944992,0.06700871139764786,0.06444936990737915,0.10286141186952591
selection,0043_2.jpg,43,2,Arabic,1,0.06901882588863373,0.07883518934249878,0.07511268556118011,0.10680713504552841
selection,0043_3.jpg,43,3,English,0,0.0675746500492096,0.08620058745145798,0.08082057535648346,0.1713416576385498
selection,0043_4.jpg,43,4,English,1,0.07817479968070984,0.09378927946090698,0.0897749811410904,0.18563468754291534
selection,0060_1.jpg,60,1,Arabic,0,0.04431521147489548,0.05659713223576546,0.055122844874858856,0.07751134783029556
selection,0060_2.jpg,60,2,Arabic,1,0.03669063746929169,0.04384626820683479,0.04214397817850113,0.06284572929143906
selection,0060_3.jpg,60,3,English,0,0.054518647491931915,0.06472992151975632,0.06353284418582916,0.11648943275213242
selection,0060_4.jpg,60,4,English,1,0.06232947111129761,0.0704653337597847,0.06962837278842926,0.09394486993551254
selection,0066_1.jpg,66,1,Arabic,0,0.04033493995666504,0.04608454927802086,0.045828040689229965,0.05821070447564125
selection,0066_2.jpg,66,2,Arabic,1,0.12449407577514648,0.13664723932743073,0.1335955262184143,0.19713565707206726
selection,0066_3.jpg,66,3,English,0,0.05022243410348892,0.05897475779056549,0.05764477699995041,0.07630324363708496
selection,0066_4.jpg,66,4,English,1,0.08196176588535309,0.09315112978219986,0.091926209628582,0.1156347393989563
selection,0067_1.jpg,67,1,Arabic,0,0.056674111634492874,0.06882581114768982,0.06583698838949203,0.09270233660936356
selection,0067_2.jpg,67,2,Arabic,1,0.06591714918613434,0.07640621066093445,0.07426933944225311,0.10937632620334625
selection,0067_3.jpg,67,3,English,0,0.07403764873743057,0.08654791116714478,0.08618153631687164,0.10961214452981949
selection,0067_4.jpg,67,4,English,1,0.06184428930282593,0.06932688504457474,0.06764386594295502,0.08725684136152267
selection,0079_1.jpg,79,1,Arabic,0,0.03826327249407768,0.04572095349431038,0.043612800538539886,0.06214122474193573
selection,0079_2.jpg,79,2,Arabic,1,0.04193059727549553,0.048154521733522415,0.04602091759443283,0.06746813654899597
selection,0079_3.jpg,79,3,English,0,0.050258051604032516,0.05951407924294472,0.05873062089085579,0.08203284442424774
selection,0079_4.jpg,79,4,English,1,0.07001356035470963,0.08266284316778183,0.08136150240898132,0.12427658587694168
selection,0086_1.jpg,86,1,Arabic,0,0.08475914597511292,0.1002887487411499,0.09506388753652573,0.17052224278450012
selection,0086_2.jpg,86,2,Arabic,1,0.09353366494178772,0.1103714182972908,0.10447914153337479,0.1643286496400833
selection,0086_3.jpg,86,3,English,0,0.13181926310062408,0.1452111452817917,0.1422024965286255,0.1919477880001068
selection,0086_4.jpg,86,4,English,1,0.13754902780056,0.15116608142852783,0.1481662094593048,0.2073063999414444
selection,0087_1.jpg,87,1,Arabic,0,0.04877272993326187,0.060593586415052414,0.059040553867816925,0.0893835797905922
selection,0087_2.jpg,87,2,Arabic,1,0.03999725356698036,0.05715903639793396,0.05602778494358063,0.08491592109203339
selection,0087_3.jpg,87,3,English,0,0.06793147325515747,0.08496057987213135,0.08252477645874023,0.1394842267036438
selection,0087_4.jpg,87,4,English,1,0.058278895914554596,0.07794132083654404,0.07654105126857758,0.1100810095667839
selection,0089_1.jpg,89,1,Arabic,0,0.05226769670844078,0.06279588490724564,0.06206474453210831,0.08302954584360123
selection,0089_2.jpg,89,2,Arabic,1,0.046155717223882675,0.05395491048693657,0.05104057490825653,0.0885574221611023
selection,0089_3.jpg,89,3,English,0,0.05556100606918335,0.06619539111852646,0.0646992176771164,0.08695787936449051
selection,0089_4.jpg,89,4,English,1,0.05997901409864426,0.06681963056325912,0.06557691097259521,0.08467032015323639
selection,0091_1.jpg,91,1,Arabic,0,0.05632993206381798,0.06524685025215149,0.06331079453229904,0.08576462417840958
selection,0091_2.jpg,91,2,Arabic,1,0.04338192567229271,0.04895429685711861,0.04689241200685501,0.07014480233192444
selection,0091_3.jpg,91,3,English,0,0.045971985906362534,0.06617031246423721,0.0572480633854866,0.1326834112405777
selection,0091_4.jpg,91,4,English,1,0.042976729571819305,0.051801472902297974,0.04755743592977524,0.1072533056139946
selection,0093_1.jpg,93,1,Arabic,0,0.05115450546145439,0.06360112875699997,0.06343718618154526,0.084152452647686
selection,0093_2.jpg,93,2,Arabic,1,0.057349756360054016,0.06717277318239212,0.06534942984580994,0.09148508310317993
selection,0093_3.jpg,93,3,English,0,0.0601988323032856,0.07124222069978714,0.06909088790416718,0.09485650807619095
selection,0093_4.jpg,93,4,English,1,0.06082456558942795,0.06806979328393936,0.06682105362415314,0.08255916088819504
selection,0106_1.jpg,106,1,Arabic,0,0.06165388599038124,0.07942549139261246,0.07156665623188019,0.21769499778747559
selection,0106_2.jpg,106,2,Arabic,1,0.07741806656122208,0.08711668848991394,0.08534897118806839,0.11069218069314957
selection,0106_3.jpg,106,3,English,0,0.07505150139331818,0.09120797365903854,0.08686799556016922,0.18330614268779755
selection,0106_4.jpg,106,4,English,1,0.09131269156932831,0.10642606019973755,0.10066566616296768,0.15283334255218506
selection,0109_1.jpg,109,1,Arabic,0,0.03564561530947685,0.045258160680532455,0.04286395013332367,0.06656620651483536
selection,0109_2.jpg,109,2,Arabic,1,0.05081862956285477,0.05999346449971199,0.057297736406326294,0.10295575857162476
selection,0109_3.jpg,109,3,English,0,0.04880768805742264,0.05967867374420166,0.057429250329732895,0.08064345270395279
selection,0109_4.jpg,109,4,English,1,0.05591774359345436,0.06308884173631668,0.062101706862449646,0.07994229346513748
selection,0114_1.jpg,114,1,Arabic,0,0.02952095866203308,0.03526642546057701,0.03440988063812256,0.05840730294585228
selection,0114_2.jpg,114,2,Arabic,1,0.03263838216662407,0.038313787430524826,0.036119602620601654,0.06613563001155853
selection,0114_3.jpg,114,3,English,0,0.03276105225086212,0.03876236453652382,0.037135541439056396,0.05481100082397461
selection,0114_4.jpg,114,4,English,1,0.05151728168129921,0.061367228627204895,0.056881267577409744,0.10644706338644028
selection,0130_1.jpg,130,1,Arabic,0,0.04402228444814682,0.054204195737838745,0.05274568498134613,0.07824159413576126
selection,0130_2.jpg,130,2,Arabic,1,0.0526387058198452,0.062469009310007095,0.05914497748017311,0.10849577933549881
selection,0130_3.jpg,130,3,English,0,0.04862138628959656,0.06116436794400215,0.06013615429401398,0.10455707460641861
selection,0130_4.jpg,130,4,English,1,0.060743216425180435,0.07064053416252136,0.0678110420703888,0.10817130655050278
selection,0132_1.jpg,132,1,Arabic,0,0.04875437170267105,0.06189228966832161,0.05844718962907791,0.09512606263160706
selection,0132_2.jpg,132,2,Arabic,1,0.041807375848293304,0.04668544605374336,0.04580923169851303,0.0558968186378479
selection,0132_3.jpg,132,3,English,0,0.07898321002721786,0.0929785892367363,0.09004982560873032,0.12140381336212158
selection,0132_4.jpg,132,4,English,1,0.06588967889547348,0.07433318346738815,0.07121314108371735,0.13571466505527496
selection,0148_1.jpg,148,1,Arabic,0,0.03674847632646561,0.0440075546503067,0.04184688627719879,0.0606161393225193
