method,condition,pairs,auc,eer,genuine_mean,impostor_mean
mutual_match_fraction,pooled,7964,0.545462878880376,0.4723756906077348,0.1658711250910175,0.15964154698971003
mutual_match_fraction,cross_same_same,1991,0.5379811361069564,0.48066298342541436,0.14213763920701913,0.13755425002102556
mutual_match_fraction,cross_same_variable,1991,0.5477183236164952,0.46519337016574586,0.1686980354518723,0.16139688942950928
mutual_match_fraction,cross_variable_same,1991,0.5604087176826105,0.45745856353591163,0.1754003038646332,0.16765919214594935
mutual_match_fraction,cross_variable_variable,1991,0.5402948627941759,0.47430939226519336,0.17724852184054538,0.17195585636235597
mutual_match_fraction,cross_macro,7964,0.5466007600500595,,,
mutual_partial_mass,pooled,7964,0.5643087436280944,0.4613259668508287,0.13755860468243675,0.1296946998512158
mutual_partial_mass,cross_same_same,1991,0.5623759958487226,0.4599447513812155,0.12065870901396085,0.11412650990757676
mutual_partial_mass,cross_same_variable,1991,0.5712005128048594,0.45359116022099444,0.14029667433724458,0.13080514116087189
mutual_partial_mass,cross_variable_same,1991,0.5672812185220232,0.4530386740331492,0.13825250792590735,0.13085489676819842
mutual_partial_mass,cross_variable_variable,1991,0.5638075760813162,0.4585635359116022,0.1510265274526342,0.14299225156821604
mutual_partial_mass,cross_macro,7964,0.5661663258142303,,,
