method,condition,pairs,genuine_pairs,impostor_pairs,auc,eer,eer_threshold,eer_far,eer_frr,genuine_mean,impostor_mean
cls_cosine,pooled,7964,724,7240,0.6606991735600256,0.3841160220994475,0.5668309926986694,0.38425414364640886,0.3839779005524862,0.5846731323563592,0.5466199621393536
cls_cosine,cross_same_same,1991,181,1810,0.6802661701413266,0.3580110497237569,0.5753653049468994,0.3569060773480663,0.35911602209944754,0.5939533822444263,0.5527851159401361
cls_cosine,cross_same_variable,1991,181,1810,0.6905741582979763,0.36464088397790057,0.5709410905838013,0.36464088397790057,0.36464088397790057,0.5914540550985389,0.5480200295290235
cls_cosine,cross_variable_same,1991,181,1810,0.6221696529409969,0.4143646408839779,0.5343849062919617,0.4143646408839779,0.4143646408839779,0.5494642451981813,0.521333813782555
cls_cosine,cross_variable_variable,1991,181,1810,0.6694118006165868,0.369060773480663,0.5863621234893799,0.3679558011049724,0.3701657458563536,0.6038208468842902,0.5643408893056996
cls_cosine,cross_macro,7964,724,7240,0.6656054454992217,,,,,,
foreground_mean_cosine,pooled,7964,724,7240,0.6139518024480327,0.4157458563535912,0.8088430166244507,0.4157458563535912,0.4157458563535912,0.8134910386899559,0.7964854761299507
foreground_mean_cosine,cross_same_same,1991,181,1810,0.6545709837917035,0.38591160220994475,0.8270303010940552,0.3850828729281768,0.3867403314917127,0.833926161679115,0.815372572682839
foreground_mean_cosine,cross_same_variable,1991,181,1810,0.6529608375812703,0.3980662983425414,0.8020650148391724,0.3983425414364641,0.39779005524861877,0.8120720719105631,0.79210095112495
foreground_mean_cosine,cross_variable_same,1991,181,1810,0.5705320350416654,0.4585635359116022,0.7647455930709839,0.4585635359116022,0.4585635359116022,0.7705517707608681,0.7602787143947011
foreground_mean_cosine,cross_variable_variable,1991,181,1810,0.6583773389090687,0.3988950276243094,0.8274745345115662,0.4,0.39779005524861877,0.837414150409277,0.8181896663173127
foreground_mean_cosine,cross_macro,7964,724,7240,0.634110298830927,,,,,,
symmetric_nearest_token,pooled,7964,724,7240,0.6270629521382131,0.4102209944751381,0.7969637513160706,0.4102209944751381,0.4102209944751381,0.8032268886737401,0.7858037954535932
symmetric_nearest_token,cross_same_same,1991,181,1810,0.6796663716003785,0.3538674033149171,0.8161054849624634,0.3541436464088398,0.35359116022099446,0.8229583478764276,0.8036695930839244
symmetric_nearest_token,cross_same_variable,1991,181,1810,0.677587680473734,0.3861878453038674,0.7925685048103333,0.3856353591160221,0.3867403314917127,0.8026059918640727,0.7822750665864892
symmetric_nearest_token,cross_variable_same,1991,181,1810,0.5741430359268642,0.43646408839779005,0.7569235563278198,0.43646408839779005,0.43646408839779005,0.7607022378984736,0.7515871409553191
symmetric_nearest_token,cross_variable_variable,1991,181,1810,0.6853728518665487,0.37679558011049724,0.8171913623809814,0.37790055248618787,0.3756906077348066,0.8266409770559869,0.8056833811886402
symmetric_nearest_token,cross_macro,7964,724,7240,0.6541924849668813,,,,,,
