method,condition,pairs,genuine_pairs,impostor_pairs,auc,eer,genuine_mean,impostor_mean
cls_cosine,pooled,8100,180,7920,0.6768571127946128,0.3832070707070707,0.5884530340631803,0.5462979577444117
cls_cosine,cross_same_same,2025,45,1980,0.6948148148148148,0.35555555555555557,0.6022927893532647,0.5602765091440894
cls_cosine,cross_same_variable,2025,45,1980,0.7244893378226711,0.3366161616161616,0.5978293630811903,0.5493674915998873
cls_cosine,cross_variable_same,2025,45,1980,0.6241975308641975,0.4,0.5469958537154728,0.5165406388014254
cls_cosine,cross_variable_variable,2025,45,1980,0.6938608305274971,0.37424242424242427,0.6066941301027934,0.5590071914322449
cls_cosine,cross_macro,8100,180,7920,0.684340628507295,,,
foreground_mean_cosine,pooled,8100,180,7920,0.621871492704826,0.4111111111111111,0.8148862285746469,0.7959950884258506
foreground_mean_cosine,cross_same_same,2025,45,1980,0.6493827160493827,0.3823232323232323,0.8374516659312778,0.8184941578694064
foreground_mean_cosine,cross_same_variable,2025,45,1980,0.7012233445566779,0.35984848484848486,0.8192641178766886,0.7946469996011618
foreground_mean_cosine,cross_variable_same,2025,45,1980,0.5653423120089787,0.44898989898989894,0.7674457377857632,0.7560802162596674
foreground_mean_cosine,cross_variable_variable,2025,45,1980,0.6524803591470258,0.4,0.8353833927048577,0.8147589799731669
foreground_mean_cosine,cross_macro,8100,180,7920,0.6421071829405163,,,
mutual_nearest_token,pooled,8100,180,7920,0.6352967171717171,0.39444444444444443,0.8268870916631487,0.8082610681878798
mutual_nearest_token,cross_same_same,2025,45,1980,0.661010101010101,0.36010101010101014,0.8466792225837707,0.8280676133704908
mutual_nearest_token,cross_same_variable,2025,45,1980,0.7337485970819304,0.3111111111111111,0.8338888234562344,0.8090648576165691
mutual_nearest_token,cross_variable_same,2025,45,1980,0.569719416386083,0.4666666666666667,0.7794401089350382,0.7706248366772527
mutual_nearest_token,cross_variable_variable,2025,45,1980,0.681952861952862,0.35555555555555557,0.8475402116775512,0.8252869650872067
mutual_nearest_token,cross_macro,8100,180,7920,0.6616077441077441,,,
cls_mutual_equal_fusion,pooled,8100,180,7920,0.6653423120089786,0.36666666666666664,0.48396523458021473,-0.08399765724619321
cls_mutual_equal_fusion,cross_same_same,2025,45,1980,0.6899887766554433,0.3787878787878788,0.8515895036315786,0.2848752660650976
cls_mutual_equal_fusion,cross_same_variable,2025,45,1980,0.7528395061728395,0.3159090909090909,0.648160758368661,-0.04995896542125122
cls_mutual_equal_fusion,cross_variable_same,2025,45,1980,0.6005611672278339,0.4444444444444444,-0.4604245292665537,-0.809278212000853
cls_mutual_equal_fusion,cross_variable_variable,2025,45,1980,0.6940179573512907,0.3580808080808081,0.896535205587173,0.23837128237223365
cls_mutual_equal_fusion,cross_macro,8100,180,7920,0.6843518518518519,,,
