epoch,batch,condition,batch_size,confirmed_margins,possible_margins,confirmation_rate,zero_confirmed
1,1,cross_variable_variable,8,16,16,1.0,False
1,1,cross_variable_same,8,16,16,1.0,False
1,1,cross_same_variable,8,16,16,1.0,False
1,1,cross_same_same,8,16,16,1.0,False
1,2,cross_variable_variable,8,16,16,1.0,False
1,2,cross_variable_same,8,16,16,1.0,False
1,2,cross_same_variable,8,16,16,1.0,False
1,2,cross_same_same,8,16,16,1.0,False
1,3,cross_variable_variable,8,16,16,1.0,False
1,3,cross_variable_same,8,16,16,1.0,False
1,3,cross_same_variable,8,16,16,1.0,False
1,3,cross_same_same,8,16,16,1.0,False
1,4,cross_variable_variable,8,16,16,1.0,False
1,4,cross_variable_same,8,16,16,1.0,False
1,4,cross_same_variable,8,16,16,1.0,False
1,4,cross_same_same,8,16,16,1.0,False
1,5,cross_variable_variable,8,16,16,1.0,False
1,5,cross_variable_same,8,16,16,1.0,False
1,5,cross_same_variable,8,16,16,1.0,False
1,5,cross_same_same,8,16,16,1.0,False
1,6,cross_variable_variable,8,16,16,1.0,False
1,6,cross_variable_same,8,16,16,1.0,False
1,6,cross_same_variable,8,16,16,1.0,False
1,6,cross_same_same,8,16,16,1.0,False
1,7,cross_variable_variable,8,16,16,1.0,False
1,7,cross_variable_same,8,16,16,1.0,False
1,7,cross_same_variable,8,16,16,1.0,False
1,7,cross_same_same,8,16,16,1.0,False
1,8,cross_variable_variable,8,16,16,1.0,False
1,8,cross_variable_same,8,16,16,1.0,False
1,8,cross_same_variable,8,16,16,1.0,False
1,8,cross_same_same,8,16,16,1.0,False
1,9,cross_variable_variable,8,16,16,1.0,False
1,9,cross_variable_same,8,16,16,1.0,False
1,9,cross_same_variable,8,16,16,1.0,False
1,9,cross_same_same,8,16,16,1.0,False
1,10,cross_variable_variable,8,16,16,1.0,False
1,10,cross_variable_same,8,16,16,1.0,False
1,10,cross_same_variable,8,16,16,1.0,False
1,10,cross_same_same,8,16,16,1.0,False
1,11,cross_variable_variable,8,16,16,1.0,False
1,11,cross_variable_same,8,16,16,1.0,False
1,11,cross_same_variable,8,16,16,1.0,False
1,11,cross_same_same,8,16,16,1.0,False
1,12,cross_variable_variable,8,16,16,1.0,False
1,12,cross_variable_same,8,16,16,1.0,False
1,12,cross_same_variable,8,16,16,1.0,False
1,12,cross_same_same,8,16,16,1.0,False
1,13,cross_variable_variable,8,16,16,1.0,False
1,13,cross_variable_same,8,16,16,1.0,False
1,13,cross_same_variable,8,16,16,1.0,False
1,13,cross_same_same,8,16,16,1.0,False
1,14,cross_variable_variable,8,16,16,1.0,False
1,14,cross_variable_same,8,16,16,1.0,False
1,14,cross_same_variable,8,16,16,1.0,False
1,14,cross_same_same,8,16,16,1.0,False
1,15,cross_variable_variable,8,16,16,1.0,False
1,15,cross_variable_same,8,16,16,1.0,False
1,15,cross_same_variable,8,16,16,1.0,False
1,15,cross_same_same,8,16,16,1.0,False
1,16,cross_variable_variable,8,16,16,1.0,False
1,16,cross_variable_same,8,16,16,1.0,False
1,16,cross_same_variable,8,16,16,1.0,False
1,16,cross_same_same,8,16,16,1.0,False
1,17,cross_variable_variable,8,16,16,1.0,False
1,17,cross_variable_same,8,16,16,1.0,False
1,17,cross_same_variable,8,16,16,1.0,False
1,17,cross_same_same,8,16,16,1.0,False
