epoch,batch,slot,writer,batch_size
1,1,1,29,8
1,1,2,86,8
1,1,3,125,8
1,1,4,71,8
1,1,5,209,8
1,1,6,226,8
1,1,7,85,8
1,1,8,276,8
1,2,1,196,8
1,2,2,279,8
1,2,3,106,8
1,2,4,228,8
1,2,5,244,8
1,2,6,116,8
1,2,7,11,8
1,2,8,35,8
1,3,1,49,8
1,3,2,18,8
1,3,3,256,8
1,3,4,192,8
1,3,5,124,8
1,3,6,114,8
1,3,7,107,8
1,3,8,27,8
1,4,1,78,8
1,4,2,87,8
1,4,3,161,8
1,4,4,62,8
1,4,5,191,8
1,4,6,76,8
1,4,7,252,8
1,4,8,153,8
1,5,1,207,8
1,5,2,60,8
1,5,3,185,8
1,5,4,156,8
1,5,5,8,8
1,5,6,204,8
1,5,7,197,8
1,5,8,181,8
1,6,1,171,8
1,6,2,267,8
1,6,3,239,8
1,6,4,271,8
1,6,5,65,8
1,6,6,206,8
1,6,7,234,8
1,6,8,237,8
1,7,1,281,8
1,7,2,96,8
1,7,3,98,8
1,7,4,103,8
1,7,5,265,8
1,7,6,42,8
1,7,7,255,8
1,7,8,159,8
1,8,1,158,8
1,8,2,208,8
1,8,3,249,8
1,8,4,91,8
1,8,5,3,8
1,8,6,179,8
1,8,7,12,8
1,8,8,189,8
1,9,1,59,8
1,9,2,74,8
1,9,3,25,8
1,9,4,57,8
1,9,5,155,8
1,9,6,260,8
1,9,7,200,8
1,9,8,94,8
1,10,1,127,8
1,10,2,147,8
1,10,3,118,8
1,10,4,231,8
1,10,5,7,8
1,10,6,211,8
1,10,7,214,8
1,10,8,188,8
1,11,1,134,8
1,11,2,250,8
1,11,3,223,8
1,11,4,262,8
1,11,5,157,8
1,11,6,6,8
1,11,7,46,8
1,11,8,40,8
1,12,1,264,8
1,12,2,152,8
1,12,3,221,8
1,12,4,172,8
1,12,5,132,8
1,12,6,247,8
1,12,7,119,8
1,12,8,224,8
1,13,1,183,8
1,13,2,104,8
1,13,3,31,8
1,13,4,219,8
1,13,5,242,8
1,13,6,198,8
1,13,7,272,8
1,13,8,164,8
1,14,1,105,8
1,14,2,235,8
1,14,3,135,8
1,14,4,43,8
1,14,5,55,8
1,14,6,225,8
1,14,7,47,8
1,14,8,140,8
1,15,1,20,8
1,15,2,75,8
1,15,3,212,8
1,15,4,273,8
1,15,5,110,8
1,15,6,26,8
1,15,7,2,8
1,15,8,38,8
1,16,1,77,8
1,16,2,243,8
1,16,3,245,8
1,16,4,123,8
1,16,5,122,8
1,16,6,178,8
1,16,7,81,8
1,16,8,162,8
1,17,1,30,8
1,17,2,146,8
1,17,3,168,8
1,17,4,263,8
1,17,5,261,8
1,17,6,246,8
1,17,7,79,8
1,17,8,92,8
1,18,1,39,8
1,18,2,163,8
1,18,3,213,8
1,18,4,56,8
1,18,5,93,8
1,18,6,274,8
1,18,7,70,8
1,18,8,67,8
1,19,1,138,8
1,19,2,154,8
1,19,3,22,8
1,19,4,240,8
1,19,5,90,8
1,19,6,21,8
1,19,7,89,8
1,19,8,180,8
1,20,1,251,8
1,20,2,109,8
1,20,3,83,8
1,20,4,169,8
1,20,5,248,8
1,20,6,266,8
1,20,7,19,8
1,20,8,199,8
1,21,1,130,8
1,21,2,66,8
1,21,3,241,8
1,21,4,61,8
1,21,5,15,8
1,21,6,167,8
1,21,7,1,8
1,21,8,201,8
1,22,1,220,8
1,22,2,282,8
1,22,3,133,8
1,22,4,142,8
1,22,5,97,8
1,22,6,229,8
1,22,7,227,8
1,22,8,232,8
1,23,1,203,5
1,23,2,148,5
1,23,3,216,5
1,23,4,101,5
1,23,5,100,5
2,1,1,179,8
2,1,2,168,8
2,1,3,11,8
2,1,4,85,8
2,1,5,40,8
2,1,6,155,8
2,1,7,134,8
2,1,8,248,8
2,2,1,21,8
2,2,2,153,8
2,2,3,178,8
2,2,4,60,8
2,2,5,219,8
2,2,6,180,8
2,2,7,122,8
2,2,8,70,8
2,3,1,78,8
2,3,2,252,8
2,3,3,116,8
2,3,4,276,8
2,3,5,138,8
2,3,6,211,8
2,3,7,263,8
2,3,8,38,8
2,4,1,212,8
2,4,2,6,8
2,4,3,147,8
2,4,4,261,8
2,4,5,59,8
2,4,6,118,8
2,4,7,106,8
2,4,8,164,8
2,5,1,197,8
2,5,2,39,8
2,5,3,103,8
2,5,4,98,8
2,5,5,221,8
2,5,6,114,8
2,5,7,251,8
2,5,8,56,8
2,6,1,208,8
2,6,2,196,8
2,6,3,158,8
2,6,4,247,8
2,6,5,243,8
2,6,6,225,8
2,6,7,49,8
2,6,8,26,8
2,7,1,171,8
2,7,2,79,8
2,7,3,199,8
2,7,4,231,8
2,7,5,228,8
2,7,6,203,8
2,7,7,266,8
2,7,8,43,8
2,8,1,119,8
2,8,2,223,8
2,8,3,18,8
2,8,4,77,8
2,8,5,67,8
2,8,6,226,8
2,8,7,81,8
2,8,8,200,8
2,9,1,132,8
2,9,2,87,8
2,9,3,242,8
2,9,4,91,8
2,9,5,105,8
2,9,6,156,8
2,9,7,2,8
2,9,8,110,8
2,10,1,204,8
2,10,2,206,8
2,10,3,15,8
2,10,4,163,8
2,10,5,249,8
2,10,6,76,8
2,10,7,47,8
2,10,8,3,8
2,11,1,71,8
2,11,2,96,8
2,11,3,250,8
2,11,4,75,8
2,11,5,162,8
2,11,6,157,8
2,11,7,282,8
2,11,8,94,8
2,12,1,29,8
2,12,2,22,8
2,12,3,272,8
2,12,4,46,8
2,12,5,127,8
2,12,6,267,8
2,12,7,244,8
2,12,8,246,8
2,13,1,279,8
2,13,2,201,8
2,13,3,159,8
2,13,4,123,8
2,13,5,100,8
2,13,6,104,8
2,13,7,209,8
2,13,8,229,8
2,14,1,66,8
2,14,2,232,8
2,14,3,224,8
2,14,4,264,8
2,14,5,1,8
2,14,6,61,8
2,14,7,274,8
2,14,8,107,8
2,15,1,237,8
2,15,2,27,8
2,15,3,213,8
2,15,4,20,8
2,15,5,167,8
2,15,6,260,8
2,15,7,220,8
2,15,8,130,8
2,16,1,124,8
2,16,2,90,8
2,16,3,273,8
2,16,4,25,8
2,16,5,101,8
2,16,6,57,8
2,16,7,55,8
2,16,8,189,8
2,17,1,191,8
2,17,2,255,8
2,17,3,227,8
2,17,4,154,8
2,17,5,161,8
2,17,6,19,8
2,17,7,183,8
2,17,8,12,8
2,18,1,135,8
2,18,2,83,8
2,18,3,239,8
2,18,4,192,8
2,18,5,30,8
2,18,6,31,8
2,18,7,8,8
2,18,8,146,8
2,19,1,198,8
2,19,2,148,8
2,19,3,181,8
2,19,4,89,8
2,19,5,93,8
2,19,6,140,8
2,19,7,125,8
2,19,8,169,8
2,20,1,42,8
2,20,2,62,8
2,20,3,74,8
2,20,4,241,8
2,20,5,172,8
2,20,6,97,8
2,20,7,271,8
2,20,8,152,8
2,21,1,214,8
2,21,2,281,8
2,21,3,65,8
2,21,4,256,8
2,21,5,109,8
2,21,6,35,8
2,21,7,185,8
2,21,8,142,8
2,22,1,216,8
2,22,2,86,8
2,22,3,245,8
2,22,4,188,8
2,22,5,234,8
2,22,6,92,8
2,22,7,7,8
2,22,8,240,8
2,23,1,262,5
2,23,2,207,5
2,23,3,235,5
2,23,4,133,5
2,23,5,265,5
3,1,1,200,8
3,1,2,78,8
3,1,3,75,8
3,1,4,245,8
3,1,5,204,8
3,1,6,260,8
3,1,7,114,8
3,1,8,43,8
3,2,1,147,8
3,2,2,85,8
3,2,3,154,8
3,2,4,196,8
3,2,5,266,8
3,2,6,152,8
3,2,7,8,8
3,2,8,282,8
3,3,1,140,8
3,3,2,119,8
3,3,3,252,8
3,3,4,123,8
3,3,5,100,8
3,3,6,246,8
3,3,7,57,8
3,3,8,19,8
3,4,1,27,8
3,4,2,212,8
3,4,3,92,8
3,4,4,101,8
3,4,5,189,8
3,4,6,227,8
3,4,7,255,8
3,4,8,162,8
3,5,1,98,8
3,5,2,97,8
3,5,3,221,8
3,5,4,133,8
3,5,5,39,8
3,5,6,225,8
3,5,7,256,8
3,5,8,79,8
3,6,1,35,8
3,6,2,231,8
3,6,3,224,8
3,6,4,87,8
3,6,5,70,8
3,6,6,18,8
3,6,7,74,8
3,6,8,262,8
3,7,1,188,8
3,7,2,49,8
3,7,3,2,8
3,7,4,219,8
3,7,5,25,8
3,7,6,83,8
3,7,7,1,8
3,7,8,60,8
3,8,1,272,8
3,8,2,15,8
3,8,3,29,8
3,8,4,76,8
3,8,5,223,8
3,8,6,11,8
3,8,7,56,8
