condition,auc,eer,eer_threshold,system
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.6732669762202672,control_raw
cross_variable_same,0.7346340388007055,0.33333333333333337,0.676408551633358,control_raw
cross_same_variable,0.771957671957672,0.3055555555555556,0.6613352434201674,control_raw
cross_same_same,0.8182760141093474,0.25,0.707839328309764,control_raw
cross_variable_variable,0.5524691358024691,0.4507936507936508,0.013465333410671779,control_lda
cross_variable_same,0.5302469135802469,0.4722222222222222,0.0047422878874036085,control_lda
cross_same_variable,0.674537037037037,0.37222222222222223,0.047436004132032396,control_lda
cross_same_same,0.5931216931216932,0.4642857142857143,0.01636010834148952,control_lda
cross_variable_variable,0.7890873015873016,0.29523809523809524,0.6792477573667254,wgc_raw
cross_variable_same,0.7383818342151676,0.33333333333333337,0.6791469684013953,wgc_raw
cross_same_variable,0.7779761904761905,0.3055555555555556,0.66983462081236,wgc_raw
cross_same_same,0.8256172839506173,0.2222222222222222,0.722454908453388,wgc_raw
cross_variable_variable,0.4703042328042328,0.5198412698412699,-0.005809270111577851,wgc_lda
cross_variable_same,0.5964947089947089,0.41349206349206347,0.03035602356706347,wgc_lda
cross_same_variable,0.6205246913580247,0.38888888888888884,0.04442101207218673,wgc_lda
cross_same_same,0.6131172839506173,0.41666666666666663,0.02276200511933944,wgc_lda
