condition,auc,eer,eer_threshold,candidate,epoch
cross_variable_variable,0.7687389770723104,0.3111111111111111,0.6643013477325439,matched_control,1
cross_variable_same,0.6841049382716049,0.36111111111111116,0.62198805809021,matched_control,1
cross_same_variable,0.6841931216931217,0.36111111111111116,0.5914732848222439,matched_control,1
cross_same_same,0.7629850088183421,0.2777777777777778,0.6660505930582682,matched_control,1
cross_variable_variable,0.7782186948853616,0.28015873015873016,0.684030100277492,matched_control,2
cross_variable_same,0.6939153439153439,0.33333333333333337,0.6603150410311562,matched_control,2
cross_same_variable,0.7136463844797177,0.30714285714285716,0.625858075278146,matched_control,2
cross_same_same,0.7810626102292769,0.25396825396825395,0.6881311280386788,matched_control,2
cross_variable_variable,0.7834435626102293,0.26587301587301587,0.6890207699366978,matched_control,3
cross_variable_same,0.7002865961199295,0.33333333333333337,0.6706226088783958,matched_control,3
cross_same_variable,0.7317460317460317,0.3103174603174603,0.6402424028941563,matched_control,3
cross_same_same,0.7923500881834216,0.2777777777777778,0.6842209878175155,matched_control,3
cross_variable_variable,0.7898589065255731,0.2857142857142857,0.6722880005836487,matched_control,4
cross_variable_same,0.7054232804232804,0.3055555555555556,0.6710706283969263,matched_control,4
cross_same_variable,0.7434964726631393,0.3126984126984127,0.6381293978009905,matched_control,4
cross_same_same,0.8008377425044092,0.27380952380952384,0.678371114390237,matched_control,4
cross_variable_variable,0.7930555555555555,0.30158730158730157,0.6742672153881618,matched_control,5
cross_variable_same,0.7143959435626103,0.33333333333333337,0.6748722838116931,matched_control,5
cross_same_variable,0.7488756613756614,0.3055555555555556,0.654861681163311,matched_control,5
cross_same_same,0.8018959435626102,0.2849206349206349,0.6913290057863508,matched_control,5
cross_variable_variable,0.7843253968253967,0.3055555555555556,0.6766869942347209,matched_control,6
cross_variable_same,0.7171075837742504,0.32857142857142857,0.6754792554037912,matched_control,6
cross_same_variable,0.7584876543209876,0.3055555555555556,0.6582228183746338,matched_control,6
cross_same_same,0.8065696649029983,0.25,0.7020824560478552,matched_control,6
cross_variable_variable,0.7858024691358025,0.2904761904761905,0.6869135890688215,matched_control,7
cross_variable_same,0.7190255731922399,0.32936507936507936,0.6823376587459019,matched_control,7
cross_same_variable,0.7632275132275133,0.2857142857142857,0.677854095186506,matched_control,7
cross_same_same,0.809700176366843,0.2753968253968254,0.7010502236230033,matched_control,7
cross_variable_variable,0.7781305114638448,0.3055555555555556,0.6771587133407593,matched_control,8
cross_variable_same,0.725705467372134,0.33333333333333337,0.6754783987998962,matched_control,8
cross_same_variable,0.7628968253968255,0.3055555555555556,0.6642207885688206,matched_control,8
cross_same_same,0.8124338624338624,0.25476190476190474,0.70359605380467,matched_control,8
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.6732669762202672,matched_control,9
cross_variable_same,0.7346340388007055,0.33333333333333337,0.676408551633358,matched_control,9
cross_same_variable,0.771957671957672,0.3055555555555556,0.6613352434201674,matched_control,9
cross_same_same,0.8182760141093474,0.25,0.707839328309764,matched_control,9
cross_variable_variable,0.7773148148148148,0.31666666666666665,0.6761346817016601,matched_control,10
cross_variable_same,0.7345238095238095,0.33333333333333337,0.6807132576193128,matched_control,10
cross_same_variable,0.769863315696649,0.3119047619047619,0.665824580192566,matched_control,10
cross_same_same,0.8187169312169312,0.25555555555555554,0.7083515524864197,matched_control,10
