condition,auc,eer,eer_threshold,system
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.6732669762202672,control_raw
cross_variable_same,0.7346340388007055,0.33333333333333337,0.676408551633358,control_raw
cross_same_variable,0.771957671957672,0.3055555555555556,0.6613352434201674,control_raw
cross_same_same,0.8182760141093474,0.25,0.707839328309764,control_raw
cross_variable_variable,0.7271384479717813,0.2968253968253968,0.9574576684406826,control_relation
cross_variable_same,0.6776455026455027,0.36111111111111116,0.9563028190998321,control_relation
cross_same_variable,0.7094797178130512,0.33333333333333337,0.9526957461708471,control_relation
cross_same_same,0.7226300705467372,0.3468253968253968,0.9565401043210711,control_relation
cross_variable_variable,0.7890873015873016,0.29523809523809524,0.6792477573667254,wgc_raw
cross_variable_same,0.7383818342151676,0.33333333333333337,0.6791469684013953,wgc_raw
cross_same_variable,0.7779761904761905,0.3055555555555556,0.66983462081236,wgc_raw
cross_same_same,0.8256172839506173,0.2222222222222222,0.722454908453388,wgc_raw
cross_variable_variable,0.727799823633157,0.33333333333333337,0.9622524423258645,wgc_relation
cross_variable_same,0.6830246913580246,0.36111111111111116,0.9640526989149669,wgc_relation
cross_same_variable,0.7214065255731922,0.35634920634920636,0.9597583481243679,wgc_relation
cross_same_same,0.7367504409171075,0.36111111111111116,0.9634888611341778,wgc_relation
