condition,auc,eer,eer_threshold,system
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.6732669762202672,control_raw
cross_variable_same,0.7346340388007055,0.33333333333333337,0.676408551633358,control_raw
cross_same_variable,0.771957671957672,0.3055555555555556,0.6613352434201674,control_raw
cross_same_same,0.8182760141093474,0.25,0.707839328309764,control_raw
cross_variable_variable,0.7738977072310407,0.3055555555555556,0.21118867993354792,control_relative
cross_variable_same,0.7297839506172841,0.30714285714285716,0.2064904877117702,control_relative
cross_same_variable,0.7689373897707231,0.3055555555555556,0.19841482910242947,control_relative
cross_same_same,0.8197310405643738,0.24365079365079365,0.26334996904645647,control_relative
cross_variable_variable,0.7890873015873016,0.29523809523809524,0.6792477573667254,wgc_raw
cross_variable_same,0.7383818342151676,0.33333333333333337,0.6791469684013953,wgc_raw
cross_same_variable,0.7779761904761905,0.3055555555555556,0.66983462081236,wgc_raw
cross_same_same,0.8256172839506173,0.2222222222222222,0.722454908453388,wgc_raw
cross_variable_variable,0.7788800705467372,0.2984126984126984,0.20413544667618616,wgc_relative
cross_variable_same,0.7348765432098766,0.2912698412698413,0.1999785704272134,wgc_relative
cross_same_variable,0.7773148148148148,0.2968253968253968,0.1919705433504922,wgc_relative
cross_same_same,0.8302028218694886,0.24603174603174602,0.23964048283440725,wgc_relative
