condition,auc,eer,eer_threshold,system
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.6732669762202672,control_raw
cross_variable_same,0.7346340388007055,0.33333333333333337,0.676408551633358,control_raw
cross_same_variable,0.771957671957672,0.3055555555555556,0.6613352434201674,control_raw
cross_same_same,0.8182760141093474,0.25,0.707839328309764,control_raw
cross_variable_variable,0.7875881834215167,0.3055555555555556,0.69338034465909,control_mean_std
cross_variable_same,0.736221340388007,0.30952380952380953,0.7079439503805978,control_mean_std
cross_same_variable,0.7736552028218695,0.3055555555555556,0.6821330993071846,control_mean_std
cross_same_same,0.816931216931217,0.25,0.7280857912425337,control_mean_std
cross_variable_variable,0.7890873015873016,0.29523809523809524,0.6792477573667254,wgc_raw
cross_variable_same,0.7383818342151676,0.33333333333333337,0.6791469684013953,wgc_raw
cross_same_variable,0.7779761904761905,0.3055555555555556,0.66983462081236,wgc_raw
cross_same_same,0.8256172839506173,0.2222222222222222,0.722454908453388,wgc_raw
cross_variable_variable,0.7924603174603175,0.2841269841269841,0.7054941892623902,wgc_mean_std
cross_variable_same,0.7408509700176367,0.33333333333333337,0.7006624178452925,wgc_mean_std
cross_same_variable,0.7796737213403879,0.2904761904761905,0.6940396206719535,wgc_mean_std
cross_same_same,0.8244047619047619,0.23095238095238096,0.7374007088797433,wgc_mean_std
