condition,auc,eer,eer_threshold,seed,candidate
cross_variable_variable,0.7854717813051146,0.3047619047619048,0.6732669762202672,42,matched_control
cross_variable_same,0.7346340388007055,0.33333333333333337,0.676408551633358,42,matched_control
cross_same_variable,0.771957671957672,0.3055555555555556,0.6613352434201674,42,matched_control
cross_same_same,0.8182760141093474,0.25,0.707839328309764,42,matched_control
cross_variable_variable,0.7890873015873016,0.29523809523809524,0.6792477573667254,42,wgc
cross_variable_same,0.7383818342151676,0.33333333333333337,0.6791469684013953,42,wgc
cross_same_variable,0.7779761904761905,0.3055555555555556,0.66983462081236,42,wgc
cross_same_same,0.8256172839506173,0.2222222222222222,0.722454908453388,42,wgc
cross_variable_variable,0.7813492063492063,0.2976190476190476,0.6941825662340436,123,matched_control
cross_variable_same,0.7350308641975308,0.33333333333333337,0.6850453511528347,123,matched_control
cross_same_variable,0.776058201058201,0.31825396825396823,0.6612174783434187,123,matched_control
cross_same_same,0.8270723104056437,0.25,0.7110051049126519,123,matched_control
cross_variable_variable,0.7879188712522046,0.31825396825396823,0.681270318371909,123,wgc
cross_variable_same,0.7414462081128748,0.33333333333333337,0.6815100266881611,123,wgc
cross_same_variable,0.7818342151675485,0.30634920634920637,0.6713331426892962,123,wgc
cross_same_same,0.8350970017636685,0.2222222222222222,0.7234776735305786,123,wgc
cross_variable_variable,0.7883597883597884,0.28095238095238095,0.6774128641401018,2026,matched_control
cross_variable_same,0.7299823633156967,0.3253968253968254,0.6757230418069022,2026,matched_control
cross_same_variable,0.76902557319224,0.29523809523809524,0.6594383018357414,2026,matched_control
cross_same_same,0.8164021164021165,0.25,0.7039431008425626,2026,matched_control
cross_variable_variable,0.7904541446208112,0.29523809523809524,0.6649351256234305,2026,wgc
cross_variable_same,0.7353395061728395,0.33333333333333337,0.668459951877594,2026,wgc
cross_same_variable,0.7766093474426808,0.3055555555555556,0.6546716264316014,2026,wgc
cross_same_same,0.8240079365079366,0.24047619047619048,0.7043504442487444,2026,wgc
