condition,auc,eer,eer_threshold,candidate,epoch
cross_variable_variable,0.7680776014109348,0.3134920634920635,0.672750072819846,wgc,1
cross_variable_same,0.6849316578483245,0.36428571428571427,0.6276129041399274,wgc,1
cross_same_variable,0.6854938271604939,0.3603174603174603,0.6018425481660026,wgc,1
cross_same_same,0.7659391534391534,0.2626984126984127,0.6808405995368958,wgc,1
cross_variable_variable,0.7798059964726631,0.2777777777777778,0.6848830655217171,wgc,2
cross_variable_same,0.6953262786596119,0.33333333333333337,0.6594638916162344,wgc,2
cross_same_variable,0.7161375661375662,0.326984126984127,0.6269283788544792,wgc,2
cross_same_same,0.7851851851851852,0.25,0.6937602022114921,wgc,2
cross_variable_variable,0.7838403880070547,0.25952380952380955,0.6950062138693673,wgc,3
cross_variable_same,0.7034391534391534,0.33333333333333337,0.6681528467881052,wgc,3
cross_same_variable,0.7371031746031746,0.3246031746031746,0.644686222076416,wgc,3
cross_same_same,0.7999559082892416,0.25873015873015875,0.6952042715890067,wgc,3
cross_variable_variable,0.7889991181657849,0.2634920634920635,0.6817393183708191,wgc,4
cross_variable_same,0.7119268077601411,0.33333333333333337,0.6548449549564095,wgc,4
cross_same_variable,0.748721340388007,0.3055555555555556,0.6464234888553619,wgc,4
cross_same_same,0.8093474426807761,0.25,0.6907578860891277,wgc,4
cross_variable_variable,0.7952601410934744,0.28015873015873016,0.6805618183953421,wgc,5
cross_variable_same,0.723589065255732,0.30952380952380953,0.6793544037001473,wgc,5
cross_same_variable,0.7565696649029983,0.3,0.6620497226715087,wgc,5
cross_same_same,0.8108465608465609,0.2777777777777778,0.6947907164411724,wgc,5
cross_variable_variable,0.7861772486772486,0.2904761904761905,0.6824976852961949,wgc,6
cross_variable_same,0.728505291005291,0.32936507936507936,0.6744879569326129,wgc,6
cross_same_variable,0.7645502645502645,0.2992063492063492,0.6648895604269845,wgc,6
cross_same_same,0.818805114638448,0.25,0.7030801028013229,wgc,6
cross_variable_variable,0.7868165784832452,0.28095238095238095,0.6899686506816319,wgc,7
cross_variable_same,0.7290123456790123,0.32301587301587303,0.6812334094728743,wgc,7
cross_same_variable,0.7680996472663139,0.2857142857142857,0.6796521118709019,wgc,7
cross_same_same,0.8198412698412698,0.2492063492063492,0.7110040324074881,wgc,7
cross_variable_variable,0.778747795414462,0.30714285714285716,0.6751267092568534,wgc,8
cross_variable_same,0.7323412698412698,0.33333333333333337,0.6726029089518956,wgc,8
cross_same_variable,0.7690476190476191,0.3055555555555556,0.6602361093867909,wgc,8
cross_same_same,0.823478835978836,0.25,0.7037315322802616,wgc,8
cross_variable_variable,0.7890873015873016,0.29523809523809524,0.6792477573667254,wgc,9
cross_variable_same,0.7383818342151676,0.33333333333333337,0.6791469684013953,wgc,9
cross_same_variable,0.7779761904761905,0.3055555555555556,0.66983462081236,wgc,9
cross_same_same,0.8256172839506173,0.2222222222222222,0.722454908453388,wgc,9
cross_variable_variable,0.778615520282187,0.32301587301587303,0.671417442389897,wgc,10
cross_variable_same,0.7391754850088184,0.33333333333333337,0.678343066945672,wgc,10
cross_same_variable,0.7769620811287478,0.3055555555555556,0.6661445476390697,wgc,10
cross_same_same,0.8300485008818342,0.23174603174603176,0.7142055443355015,wgc,10
