model,adaptation,condition,auc,eer
dinov2_s,pca225_writer_lda,arabic_variable_same,0.9476229128014843,0.1428571428571429
dinov2_s,pca225_writer_lda,english_variable_same,0.9775626159554731,0.07207792207792207
dinov2_s,pca225_writer_lda,cross_variable_variable,0.8249478200371059,0.25
dinov2_s,pca225_writer_lda,cross_variable_same,0.8175440630797773,0.23474025974025975
dinov2_s,pca225_writer_lda,cross_same_variable,0.8940630797773654,0.18863636363636363
dinov2_s,pca225_writer_lda,cross_same_same,0.9355403525046382,0.1305194805194805
dinov2_b,pca225_writer_lda,arabic_variable_same,0.9554846938775511,0.1366883116883117
dinov2_b,pca225_writer_lda,english_variable_same,0.983743042671614,0.0714285714285714
dinov2_b,pca225_writer_lda,cross_variable_variable,0.8625985621521336,0.2142857142857143
dinov2_b,pca225_writer_lda,cross_variable_same,0.8660192486085343,0.2142857142857143
dinov2_b,pca225_writer_lda,cross_same_variable,0.9130623840445269,0.1428571428571429
dinov2_b,pca225_writer_lda,cross_same_same,0.9185122912801483,0.17727272727272728
dinov2_l,pca225_writer_lda,arabic_variable_same,0.9550962430426715,0.12987012987012986
dinov2_l,pca225_writer_lda,english_variable_same,0.9655786178107607,0.10616883116883116
dinov2_l,pca225_writer_lda,cross_variable_variable,0.8554267161410019,0.2142857142857143
dinov2_l,pca225_writer_lda,cross_variable_same,0.8252377087198515,0.26785714285714285
dinov2_l,pca225_writer_lda,cross_same_variable,0.8633290816326531,0.1785714285714286
dinov2_l,pca225_writer_lda,cross_same_same,0.9097054730983303,0.16103896103896104
dinov2_g,pca225_writer_lda,arabic_variable_same,0.9496173469387755,0.1185064935064935
dinov2_g,pca225_writer_lda,english_variable_same,0.9737128942486084,0.05714285714285714
dinov2_g,pca225_writer_lda,cross_variable_variable,0.8613752319109462,0.20616883116883117
dinov2_g,pca225_writer_lda,cross_variable_same,0.8790352504638219,0.2321428571428571
dinov2_g,pca225_writer_lda,cross_same_variable,0.8998086734693878,0.16818181818181818
dinov2_g,pca225_writer_lda,cross_same_same,0.9553745361781076,0.0892857142857143
