role,condition,left_writer,right_writer,left_filename,right_filename,label,score
selection,cross_variable_variable,6,6,0006_1.jpg,0006_3.jpg,1,0.09469127
selection,cross_variable_variable,6,12,0006_1.jpg,0012_3.jpg,0,0.026446078
selection,cross_variable_variable,6,15,0006_1.jpg,0015_3.jpg,0,0.03989241
selection,cross_variable_variable,6,18,0006_1.jpg,0018_3.jpg,0,-0.043579116
selection,cross_variable_variable,6,35,0006_1.jpg,0035_3.jpg,0,-0.05557703
selection,cross_variable_variable,6,42,0006_1.jpg,0042_3.jpg,0,-0.11405076
selection,cross_variable_variable,6,43,0006_1.jpg,0043_3.jpg,0,0.06014672
selection,cross_variable_variable,6,60,0006_1.jpg,0060_3.jpg,0,-0.10952444
selection,cross_variable_variable,6,66,0006_1.jpg,0066_3.jpg,0,0.1059656
selection,cross_variable_variable,6,67,0006_1.jpg,0067_3.jpg,0,0.20834988
selection,cross_variable_variable,6,79,0006_1.jpg,0079_3.jpg,0,-0.05166574
selection,cross_variable_variable,6,86,0006_1.jpg,0086_3.jpg,0,-0.20234054
selection,cross_variable_variable,6,87,0006_1.jpg,0087_3.jpg,0,0.21817197
selection,cross_variable_variable,6,89,0006_1.jpg,0089_3.jpg,0,0.042641453
selection,cross_variable_variable,6,91,0006_1.jpg,0091_3.jpg,0,0.060964312
selection,cross_variable_variable,6,93,0006_1.jpg,0093_3.jpg,0,-0.019556317
selection,cross_variable_variable,6,106,0006_1.jpg,0106_3.jpg,0,0.016841348
selection,cross_variable_variable,6,109,0006_1.jpg,0109_3.jpg,0,0.09932684
selection,cross_variable_variable,6,114,0006_1.jpg,0114_3.jpg,0,-0.14049855
selection,cross_variable_variable,6,130,0006_1.jpg,0130_3.jpg,0,0.06546123
selection,cross_variable_variable,6,132,0006_1.jpg,0132_3.jpg,0,0.10766119
selection,cross_variable_variable,6,148,0006_1.jpg,0148_3.jpg,0,0.06198638
selection,cross_variable_variable,6,154,0006_1.jpg,0154_3.jpg,0,-0.00036113523
selection,cross_variable_variable,6,161,0006_1.jpg,0161_3.jpg,0,-0.021066936
selection,cross_variable_variable,6,200,0006_1.jpg,0200_3.jpg,0,0.25959072
selection,cross_variable_variable,6,204,0006_1.jpg,0204_3.jpg,0,0.23407207
selection,cross_variable_variable,6,216,0006_1.jpg,0216_3.jpg,0,0.14262956
selection,cross_variable_variable,6,219,0006_1.jpg,0219_3.jpg,0,-0.06337399
selection,cross_variable_variable,6,224,0006_1.jpg,0224_3.jpg,0,-0.09671825
selection,cross_variable_variable,6,237,0006_1.jpg,0237_3.jpg,0,0.075697735
selection,cross_variable_variable,6,239,0006_1.jpg,0239_3.jpg,0,0.24035555
selection,cross_variable_variable,6,248,0006_1.jpg,0248_3.jpg,0,0.1512576
selection,cross_variable_variable,6,266,0006_1.jpg,0266_3.jpg,0,0.011423938
selection,cross_variable_variable,6,271,0006_1.jpg,0271_3.jpg,0,-0.020730715
selection,cross_variable_variable,6,279,0006_1.jpg,0279_3.jpg,0,-0.09002069
selection,cross_variable_variable,6,282,0006_1.jpg,0282_3.jpg,0,0.10866537
selection,cross_variable_variable,12,6,0012_1.jpg,0006_3.jpg,0,0.09828275
selection,cross_variable_variable,12,12,0012_1.jpg,0012_3.jpg,1,0.25697315
selection,cross_variable_variable,12,15,0012_1.jpg,0015_3.jpg,0,-0.18584783
selection,cross_variable_variable,12,18,0012_1.jpg,0018_3.jpg,0,-0.0018140208
selection,cross_variable_variable,12,35,0012_1.jpg,0035_3.jpg,0,-0.0070776492
selection,cross_variable_variable,12,42,0012_1.jpg,0042_3.jpg,0,0.16534616
selection,cross_variable_variable,12,43,0012_1.jpg,0043_3.jpg,0,0.27113006
selection,cross_variable_variable,12,60,0012_1.jpg,0060_3.jpg,0,-0.06296557
selection,cross_variable_variable,12,66,0012_1.jpg,0066_3.jpg,0,-0.004608594
selection,cross_variable_variable,12,67,0012_1.jpg,0067_3.jpg,0,0.08529997
selection,cross_variable_variable,12,79,0012_1.jpg,0079_3.jpg,0,-0.20900585
selection,cross_variable_variable,12,86,0012_1.jpg,0086_3.jpg,0,0.19550464
selection,cross_variable_variable,12,87,0012_1.jpg,0087_3.jpg,0,0.0678238
selection,cross_variable_variable,12,89,0012_1.jpg,0089_3.jpg,0,-0.013071874
selection,cross_variable_variable,12,91,0012_1.jpg,0091_3.jpg,0,-0.06873746
selection,cross_variable_variable,12,93,0012_1.jpg,0093_3.jpg,0,0.013524342
selection,cross_variable_variable,12,106,0012_1.jpg,0106_3.jpg,0,-0.17494069
selection,cross_variable_variable,12,109,0012_1.jpg,0109_3.jpg,0,-0.08892905
selection,cross_variable_variable,12,114,0012_1.jpg,0114_3.jpg,0,-0.13490169
selection,cross_variable_variable,12,130,0012_1.jpg,0130_3.jpg,0,0.32226303
selection,cross_variable_variable,12,132,0012_1.jpg,0132_3.jpg,0,-0.13104486
selection,cross_variable_variable,12,148,0012_1.jpg,0148_3.jpg,0,0.2291252
selection,cross_variable_variable,12,154,0012_1.jpg,0154_3.jpg,0,-0.24108292
selection,cross_variable_variable,12,161,0012_1.jpg,0161_3.jpg,0,-0.08070229
selection,cross_variable_variable,12,200,0012_1.jpg,0200_3.jpg,0,-0.004874805
selection,cross_variable_variable,12,204,0012_1.jpg,0204_3.jpg,0,-0.17151505
selection,cross_variable_variable,12,216,0012_1.jpg,0216_3.jpg,0,0.030996073
selection,cross_variable_variable,12,219,0012_1.jpg,0219_3.jpg,0,0.13763098
selection,cross_variable_variable,12,224,0012_1.jpg,0224_3.jpg,0,0.312971
selection,cross_variable_variable,12,237,0012_1.jpg,0237_3.jpg,0,0.10760903
selection,cross_variable_variable,12,239,0012_1.jpg,0239_3.jpg,0,-0.101596594
selection,cross_variable_variable,12,248,0012_1.jpg,0248_3.jpg,0,0.26911736
selection,cross_variable_variable,12,266,0012_1.jpg,0266_3.jpg,0,-0.0999331
selection,cross_variable_variable,12,271,0012_1.jpg,0271_3.jpg,0,-0.06571697
selection,cross_variable_variable,12,279,0012_1.jpg,0279_3.jpg,0,-0.31421435
selection,cross_variable_variable,12,282,0012_1.jpg,0282_3.jpg,0,-0.24990565
selection,cross_variable_variable,15,6,0015_1.jpg,0006_3.jpg,0,-0.12260976
selection,cross_variable_variable,15,12,0015_1.jpg,0012_3.jpg,0,0.19895343
selection,cross_variable_variable,15,15,0015_1.jpg,0015_3.jpg,1,0.4351717
selection,cross_variable_variable,15,18,0015_1.jpg,0018_3.jpg,0,-0.010554832
selection,cross_variable_variable,15,35,0015_1.jpg,0035_3.jpg,0,0.113880545
selection,cross_variable_variable,15,42,0015_1.jpg,0042_3.jpg,0,0.3000416
selection,cross_variable_variable,15,43,0015_1.jpg,0043_3.jpg,0,-0.0717483
selection,cross_variable_variable,15,60,0015_1.jpg,0060_3.jpg,0,-0.009199087
selection,cross_variable_variable,15,66,0015_1.jpg,0066_3.jpg,0,0.10772167
selection,cross_variable_variable,15,67,0015_1.jpg,0067_3.jpg,0,0.21256544
selection,cross_variable_variable,15,79,0015_1.jpg,0079_3.jpg,0,0.03809759
selection,cross_variable_variable,15,86,0015_1.jpg,0086_3.jpg,0,0.16916852
selection,cross_variable_variable,15,87,0015_1.jpg,0087_3.jpg,0,-0.080303065
selection,cross_variable_variable,15,89,0015_1.jpg,0089_3.jpg,0,0.011696242
selection,cross_variable_variable,15,91,0015_1.jpg,0091_3.jpg,0,-0.036559023
selection,cross_variable_variable,15,93,0015_1.jpg,0093_3.jpg,0,0.095176384
selection,cross_variable_variable,15,106,0015_1.jpg,0106_3.jpg,0,0.08194212
selection,cross_variable_variable,15,109,0015_1.jpg,0109_3.jpg,0,-0.13603559
selection,cross_variable_variable,15,114,0015_1.jpg,0114_3.jpg,0,-0.010995202
selection,cross_variable_variable,15,130,0015_1.jpg,0130_3.jpg,0,0.09379916
selection,cross_variable_variable,15,132,0015_1.jpg,0132_3.jpg,0,0.06598234
selection,cross_variable_variable,15,148,0015_1.jpg,0148_3.jpg,0,0.04319324
selection,cross_variable_variable,15,154,0015_1.jpg,0154_3.jpg,0,-0.045735758
selection,cross_variable_variable,15,161,0015_1.jpg,0161_3.jpg,0,0.28376573
selection,cross_variable_variable,15,200,0015_1.jpg,0200_3.jpg,0,-0.14469375
selection,cross_variable_variable,15,204,0015_1.jpg,0204_3.jpg,0,-0.01912816
selection,cross_variable_variable,15,216,0015_1.jpg,0216_3.jpg,0,-0.23871806
selection,cross_variable_variable,15,219,0015_1.jpg,0219_3.jpg,0,0.024950258
selection,cross_variable_variable,15,224,0015_1.jpg,0224_3.jpg,0,0.12494323
selection,cross_variable_variable,15,237,0015_1.jpg,0237_3.jpg,0,0.0038318336
selection,cross_variable_variable,15,239,0015_1.jpg,0239_3.jpg,0,-0.0070098517
selection,cross_variable_variable,15,248,0015_1.jpg,0248_3.jpg,0,-0.06800582
selection,cross_variable_variable,15,266,0015_1.jpg,0266_3.jpg,0,-0.0818436
selection,cross_variable_variable,15,271,0015_1.jpg,0271_3.jpg,0,-0.036941055
selection,cross_variable_variable,15,279,0015_1.jpg,0279_3.jpg,0,-0.105865784
selection,cross_variable_variable,15,282,0015_1.jpg,0282_3.jpg,0,0.029848326
selection,cross_variable_variable,18,6,0018_1.jpg,0006_3.jpg,0,0.14151448
selection,cross_variable_variable,18,12,0018_1.jpg,0012_3.jpg,0,0.03550586
selection,cross_variable_variable,18,15,0018_1.jpg,0015_3.jpg,0,-0.03039391
selection,cross_variable_variable,18,18,0018_1.jpg,0018_3.jpg,1,0.20822176
selection,cross_variable_variable,18,35,0018_1.jpg,0035_3.jpg,0,-0.028710652
selection,cross_variable_variable,18,42,0018_1.jpg,0042_3.jpg,0,-0.17763133
selection,cross_variable_variable,18,43,0018_1.jpg,0043_3.jpg,0,-0.066693716
selection,cross_variable_variable,18,60,0018_1.jpg,0060_3.jpg,0,-0.0052292254
selection,cross_variable_variable,18,66,0018_1.jpg,0066_3.jpg,0,0.047972433
selection,cross_variable_variable,18,67,0018_1.jpg,0067_3.jpg,0,-0.01822883
selection,cross_variable_variable,18,79,0018_1.jpg,0079_3.jpg,0,0.028917367
selection,cross_variable_variable,18,86,0018_1.jpg,0086_3.jpg,0,0.055702157
selection,cross_variable_variable,18,87,0018_1.jpg,0087_3.jpg,0,0.052852955
selection,cross_variable_variable,18,89,0018_1.jpg,0089_3.jpg,0,-0.11445479
selection,cross_variable_variable,18,91,0018_1.jpg,0091_3.jpg,0,0.021276878
selection,cross_variable_variable,18,93,0018_1.jpg,0093_3.jpg,0,-0.012540188
selection,cross_variable_variable,18,106,0018_1.jpg,0106_3.jpg,0,0.04181208
selection,cross_variable_variable,18,109,0018_1.jpg,0109_3.jpg,0,0.0033707581
selection,cross_variable_variable,18,114,0018_1.jpg,0114_3.jpg,0,0.004444327
selection,cross_variable_variable,18,130,0018_1.jpg,0130_3.jpg,0,0.0010421611
selection,cross_variable_variable,18,132,0018_1.jpg,0132_3.jpg,0,-0.13519487
selection,cross_variable_variable,18,148,0018_1.jpg,0148_3.jpg,0,-0.027706385
selection,cross_variable_variable,18,154,0018_1.jpg,0154_3.jpg,0,0.037999414
selection,cross_variable_variable,18,161,0018_1.jpg,0161_3.jpg,0,0.13446146
selection,cross_variable_variable,18,200,0018_1.jpg,0200_3.jpg,0,0.04347224
selection,cross_variable_variable,18,204,0018_1.jpg,0204_3.jpg,0,-0.14924389
selection,cross_variable_variable,18,216,0018_1.jpg,0216_3.jpg,0,0.08549151
selection,cross_variable_variable,18,219,0018_1.jpg,0219_3.jpg,0,-0.0005241595
selection,cross_variable_variable,18,224,0018_1.jpg,0224_3.jpg,0,0.13199617
selection,cross_variable_variable,18,237,0018_1.jpg,0237_3.jpg,0,0.17095825
selection,cross_variable_variable,18,239,0018_1.jpg,0239_3.jpg,0,-0.097007684
selection,cross_variable_variable,18,248,0018_1.jpg,0248_3.jpg,0,0.09914457
selection,cross_variable_variable,18,266,0018_1.jpg,0266_3.jpg,0,-0.15760979
selection,cross_variable_variable,18,271,0018_1.jpg,0271_3.jpg,0,-0.1833759
selection,cross_variable_variable,18,279,0018_1.jpg,0279_3.jpg,0,-0.04832835
selection,cross_variable_variable,18,282,0018_1.jpg,0282_3.jpg,0,0.04478228
selection,cross_variable_variable,35,6,0035_1.jpg,0006_3.jpg,0,-0.20670404
selection,cross_variable_variable,35,12,0035_1.jpg,0012_3.jpg,0,0.10180302
selection,cross_variable_variable,35,15,0035_1.jpg,0015_3.jpg,0,0.057476986
selection,cross_variable_variable,35,18,0035_1.jpg,0018_3.jpg,0,-0.09851456
selection,cross_variable_variable,35,35,0035_1.jpg,0035_3.jpg,1,0.32391542
selection,cross_variable_variable,35,42,0035_1.jpg,0042_3.jpg,0,0.14262941
selection,cross_variable_variable,35,43,0035_1.jpg,0043_3.jpg,0,0.2821341
selection,cross_variable_variable,35,60,0035_1.jpg,0060_3.jpg,0,0.04208857
selection,cross_variable_variable,35,66,0035_1.jpg,0066_3.jpg,0,0.12190738
selection,cross_variable_variable,35,67,0035_1.jpg,0067_3.jpg,0,0.21325712
selection,cross_variable_variable,35,79,0035_1.jpg,0079_3.jpg,0,-0.15531555
selection,cross_variable_variable,35,86,0035_1.jpg,0086_3.jpg,0,0.097793385
selection,cross_variable_variable,35,87,0035_1.jpg,0087_3.jpg,0,0.024500277
selection,cross_variable_variable,35,89,0035_1.jpg,0089_3.jpg,0,0.13359027
selection,cross_variable_variable,35,91,0035_1.jpg,0091_3.jpg,0,-0.1209139
selection,cross_variable_variable,35,93,0035_1.jpg,0093_3.jpg,0,-0.08233249
selection,cross_variable_variable,35,106,0035_1.jpg,0106_3.jpg,0,0.06792681
selection,cross_variable_variable,35,109,0035_1.jpg,0109_3.jpg,0,0.05871757
selection,cross_variable_variable,35,114,0035_1.jpg,0114_3.jpg,0,-0.047807798
selection,cross_variable_variable,35,130,0035_1.jpg,0130_3.jpg,0,0.048213854
selection,cross_variable_variable,35,132,0035_1.jpg,0132_3.jpg,0,-0.025469638
selection,cross_variable_variable,35,148,0035_1.jpg,0148_3.jpg,0,0.100315094
selection,cross_variable_variable,35,154,0035_1.jpg,0154_3.jpg,0,-0.18097295
selection,cross_variable_variable,35,161,0035_1.jpg,0161_3.jpg,0,-0.019195255
selection,cross_variable_variable,35,200,0035_1.jpg,0200_3.jpg,0,-0.049197167
selection,cross_variable_variable,35,204,0035_1.jpg,0204_3.jpg,0,-0.121056214
selection,cross_variable_variable,35,216,0035_1.jpg,0216_3.jpg,0,-0.019569622
selection,cross_variable_variable,35,219,0035_1.jpg,0219_3.jpg,0,0.12819013
selection,cross_variable_variable,35,224,0035_1.jpg,0224_3.jpg,0,0.1660011
selection,cross_variable_variable,35,237,0035_1.jpg,0237_3.jpg,0,-0.031032212
selection,cross_variable_variable,35,239,0035_1.jpg,0239_3.jpg,0,0.09948522
selection,cross_variable_variable,35,248,0035_1.jpg,0248_3.jpg,0,0.09431501
selection,cross_variable_variable,35,266,0035_1.jpg,0266_3.jpg,0,0.14470911
selection,cross_variable_variable,35,271,0035_1.jpg,0271_3.jpg,0,0.066714734
selection,cross_variable_variable,35,279,0035_1.jpg,0279_3.jpg,0,0.007853765
selection,cross_variable_variable,35,282,0035_1.jpg,0282_3.jpg,0,-0.061399568
selection,cross_variable_variable,42,6,0042_1.jpg,0006_3.jpg,0,-0.22376277
selection,cross_variable_variable,42,12,0042_1.jpg,0012_3.jpg,0,0.14541006
selection,cross_variable_variable,42,15,0042_1.jpg,0015_3.jpg,0,-0.21711406
selection,cross_variable_variable,42,18,0042_1.jpg,0018_3.jpg,0,-0.028908137
selection,cross_variable_variable,42,35,0042_1.jpg,0035_3.jpg,0,-0.15080696
selection,cross_variable_variable,42,42,0042_1.jpg,0042_3.jpg,1,0.017128874
selection,cross_variable_variable,42,43,0042_1.jpg,0043_3.jpg,0,0.14164294
selection,cross_variable_variable,42,60,0042_1.jpg,0060_3.jpg,0,-0.19289513
selection,cross_variable_variable,42,66,0042_1.jpg,0066_3.jpg,0,0.033836976
selection,cross_variable_variable,42,67,0042_1.jpg,0067_3.jpg,0,-0.07429371
selection,cross_variable_variable,42,79,0042_1.jpg,0079_3.jpg,0,-0.021699287
selection,cross_variable_variable,42,86,0042_1.jpg,0086_3.jpg,0,0.19301164
selection,cross_variable_variable,42,87,0042_1.jpg,0087_3.jpg,0,0.087240055
selection,cross_variable_variable,42,89,0042_1.jpg,0089_3.jpg,0,0.008383729
selection,cross_variable_variable,42,91,0042_1.jpg,0091_3.jpg,0,0.08285205
selection,cross_variable_variable,42,93,0042_1.jpg,0093_3.jpg,0,-0.14297242
selection,cross_variable_variable,42,106,0042_1.jpg,0106_3.jpg,0,-0.17887668
selection,cross_variable_variable,42,109,0042_1.jpg,0109_3.jpg,0,-0.15359743
selection,cross_variable_variable,42,114,0042_1.jpg,0114_3.jpg,0,0.015495956
selection,cross_variable_variable,42,130,0042_1.jpg,0130_3.jpg,0,0.19351141
selection,cross_variable_variable,42,132,0042_1.jpg,0132_3.jpg,0,-0.06701729
selection,cross_variable_variable,42,148,0042_1.jpg,0148_3.jpg,0,0.132626
selection,cross_variable_variable,42,154,0042_1.jpg,0154_3.jpg,0,0.014157414
selection,cross_variable_variable,42,161,0042_1.jpg,0161_3.jpg,0,0.079863444
selection,cross_variable_variable,42,200,0042_1.jpg,0200_3.jpg,0,0.08295044
selection,cross_variable_variable,42,204,0042_1.jpg,0204_3.jpg,0,-0.10111203
selection,cross_variable_variable,42,216,0042_1.jpg,0216_3.jpg,0,0.20924671
selection,cross_variable_variable,42,219,0042_1.jpg,0219_3.jpg,0,0.124954745
selection,cross_variable_variable,42,224,0042_1.jpg,0224_3.jpg,0,0.38875827
selection,cross_variable_variable,42,237,0042_1.jpg,0237_3.jpg,0,-0.12181552
selection,cross_variable_variable,42,239,0042_1.jpg,0239_3.jpg,0,-0.072720736
selection,cross_variable_variable,42,248,0042_1.jpg,0248_3.jpg,0,0.27514634
selection,cross_variable_variable,42,266,0042_1.jpg,0266_3.jpg,0,-0.09012211
selection,cross_variable_variable,42,271,0042_1.jpg,0271_3.jpg,0,-0.19983824
selection,cross_variable_variable,42,279,0042_1.jpg,0279_3.jpg,0,-0.054505903
selection,cross_variable_variable,42,282,0042_1.jpg,0282_3.jpg,0,-0.09876485
selection,cross_variable_variable,43,6,0043_1.jpg,0006_3.jpg,0,-0.016357237
selection,cross_variable_variable,43,12,0043_1.jpg,0012_3.jpg,0,0.13600405
selection,cross_variable_variable,43,15,0043_1.jpg,0015_3.jpg,0,-0.044335023
selection,cross_variable_variable,43,18,0043_1.jpg,0018_3.jpg,0,-0.23484126
selection,cross_variable_variable,43,35,0043_1.jpg,0035_3.jpg,0,0.12039144
