epoch,mean_script_loss,training_accuracy,examples_seen,batches
1,0.6929942833052741,0.5,580,18
2,0.6786101029978858,0.6344827586206897,580,18
3,0.6652072171370188,0.7103448275862069,580,18
4,0.652670661608378,0.7551724137931034,580,18
5,0.6405717730522156,0.7689655172413793,580,18
6,0.6287751661406623,0.7913793103448276,580,18
7,0.617692596382565,0.8155172413793104,580,18
8,0.6067737936973572,0.8275862068965517,580,18
9,0.5965089367495643,0.8396551724137931,580,18
10,0.5864315132300059,0.8448275862068966,580,18
