epoch,batch,slot,writer,batch_size
1,1,1,266,9
1,1,2,93,9
1,1,3,12,9
1,1,4,91,9
1,1,5,282,9
1,1,6,43,9
1,1,7,106,9
1,1,8,161,9
1,1,9,224,9
1,2,1,66,9
1,2,2,148,9
1,2,3,87,9
1,2,4,109,9
1,2,5,279,9
1,2,6,35,9
1,2,7,239,9
1,2,8,89,9
1,2,9,204,9
1,3,1,67,9
1,3,2,86,9
1,3,3,130,9
1,3,4,216,9
1,3,5,18,9
1,3,6,42,9
1,3,7,79,9
1,3,8,154,9
1,3,9,237,9
1,4,1,132,9
1,4,2,60,9
1,4,3,6,9
1,4,4,200,9
1,4,5,248,9
1,4,6,271,9
1,4,7,114,9
1,4,8,15,9
1,4,9,219,9
1,5,1,147,9
1,5,2,142,9
1,5,3,228,9
1,5,4,267,9
1,5,5,196,9
1,5,6,123,9
1,5,7,250,9
1,5,8,133,9
1,5,9,59,9
1,6,1,7,8
1,6,2,199,8
1,6,3,246,8
1,6,4,3,8
1,6,5,152,8
1,6,6,134,8
1,6,7,49,8
1,6,8,276,8
1,7,1,242,8
1,7,2,140,8
1,7,3,21,8
1,7,4,256,8
1,7,5,178,8
1,7,6,183,8
1,7,7,1,8
1,7,8,212,8
1,8,1,197,8
1,8,2,47,8
1,8,3,156,8
1,8,4,101,8
1,8,5,251,8
1,8,6,107,8
1,8,7,70,8
1,8,8,260,8
1,9,1,240,8
1,9,2,265,8
1,9,3,22,8
1,9,4,231,8
1,9,5,138,8
1,9,6,8,8
1,9,7,169,8
1,9,8,83,8
1,10,1,249,8
1,10,2,281,8
1,10,3,172,8
1,10,4,207,8
1,10,5,214,8
1,10,6,191,8
1,10,7,189,8
1,10,8,245,8
1,11,1,208,8
1,11,2,135,8
1,11,3,78,8
1,11,4,179,8
1,11,5,30,8
1,11,6,209,8
1,11,7,127,8
1,11,8,168,8
1,12,1,164,8
1,12,2,118,8
1,12,3,274,8
1,12,4,153,8
1,12,5,119,8
1,12,6,163,8
1,12,7,38,8
1,12,8,241,8
1,13,1,155,8
1,13,2,203,8
1,13,3,146,8
1,13,4,97,8
1,13,5,105,8
1,13,6,185,8
1,13,7,162,8
1,13,8,116,8
1,14,1,234,8
1,14,2,220,8
1,14,3,46,8
1,14,4,272,8
1,14,5,252,8
1,14,6,158,8
1,14,7,264,8
1,14,8,122,8
1,15,1,198,8
1,15,2,19,8
1,15,3,206,8
1,15,4,213,8
1,15,5,55,8
1,15,6,103,8
1,15,7,157,8
1,15,8,92,8
1,16,1,192,8
1,16,2,2,8
1,16,3,75,8
1,16,4,201,8
1,16,5,29,8
1,16,6,261,8
1,16,7,90,8
1,16,8,124,8
1,17,1,232,8
1,17,2,71,8
1,17,3,110,8
1,17,4,243,8
1,17,5,211,8
1,17,6,273,8
1,17,7,171,8
1,17,8,229,8
1,18,1,20,8
1,18,2,76,8
1,18,3,247,8
1,18,4,100,8
1,18,5,94,8
1,18,6,235,8
1,18,7,40,8
1,18,8,244,8
1,19,1,26,8
1,19,2,98,8
1,19,3,180,8
1,19,4,223,8
1,19,5,57,8
1,19,6,27,8
1,19,7,77,8
1,19,8,263,8
1,20,1,61,8
1,20,2,56,8
1,20,3,96,8
1,20,4,62,8
1,20,5,125,8
1,20,6,85,8
1,20,7,11,8
1,20,8,167,8
1,21,1,225,8
1,21,2,262,8
1,21,3,74,8
1,21,4,181,8
1,21,5,39,8
1,21,6,31,8
1,21,7,255,8
1,21,8,104,8
1,22,1,81,8
1,22,2,188,8
1,22,3,226,8
1,22,4,25,8
1,22,5,227,8
1,22,6,65,8
1,22,7,159,8
1,22,8,221,8
2,1,1,104,9
2,1,2,49,9
2,1,3,116,9
2,1,4,86,9
2,1,5,204,9
2,1,6,242,9
2,1,7,189,9
2,1,8,208,9
2,1,9,279,9
2,2,1,70,9
2,2,2,246,9
2,2,3,260,9
2,2,4,239,9
2,2,5,15,9
2,2,6,90,9
2,2,7,92,9
2,2,8,237,9
2,2,9,3,9
2,3,1,228,9
2,3,2,231,9
2,3,3,178,9
2,3,4,100,9
2,3,5,96,9
2,3,6,214,9
2,3,7,1,9
2,3,8,163,9
2,3,9,209,9
2,4,1,250,9
2,4,2,168,9
2,4,3,225,9
2,4,4,249,9
2,4,5,142,9
2,4,6,156,9
2,4,7,94,9
2,4,8,79,9
2,4,9,271,9
2,5,1,125,9
2,5,2,78,9
2,5,3,235,9
2,5,4,97,9
2,5,5,132,9
2,5,6,146,9
2,5,7,130,9
2,5,8,232,9
2,5,9,206,9
2,6,1,211,8
2,6,2,87,8
2,6,3,29,8
2,6,4,42,8
2,6,5,158,8
2,6,6,46,8
2,6,7,219,8
2,6,8,185,8
2,7,1,20,8
2,7,2,281,8
2,7,3,7,8
2,7,4,172,8
2,7,5,192,8
2,7,6,93,8
2,7,7,135,8
2,7,8,183,8
2,8,1,8,8
2,8,2,31,8
2,8,3,61,8
2,8,4,227,8
2,8,5,110,8
2,8,6,198,8
2,8,7,263,8
2,8,8,6,8
2,9,1,89,8
2,9,2,27,8
2,9,3,105,8
2,9,4,200,8
2,9,5,152,8
2,9,6,267,8
2,9,7,60,8
2,9,8,81,8
2,10,1,159,8
2,10,2,118,8
2,10,3,30,8
2,10,4,216,8
2,10,5,47,8
2,10,6,240,8
2,10,7,19,8
2,10,8,65,8
2,11,1,203,8
2,11,2,122,8
2,11,3,77,8
2,11,4,272,8
2,11,5,213,8
2,11,6,197,8
2,11,7,26,8
2,11,8,247,8
2,12,1,262,8
2,12,2,67,8
2,12,3,39,8
2,12,4,171,8
2,12,5,134,8
2,12,6,148,8
2,12,7,38,8
2,12,8,161,8
2,13,1,264,8
2,13,2,191,8
2,13,3,109,8
2,13,4,75,8
2,13,5,55,8
2,13,6,11,8
2,13,7,196,8
2,13,8,21,8
2,14,1,107,8
2,14,2,181,8
2,14,3,179,8
2,14,4,138,8
2,14,5,274,8
2,14,6,224,8
2,14,7,164,8
2,14,8,119,8
2,15,1,85,8
2,15,2,243,8
2,15,3,56,8
2,15,4,256,8
2,15,5,212,8
2,15,6,188,8
2,15,7,18,8
2,15,8,43,8
2,16,1,251,8
2,16,2,83,8
2,16,3,167,8
2,16,4,226,8
2,16,5,74,8
2,16,6,265,8
2,16,7,229,8
2,16,8,71,8
2,17,1,162,8
2,17,2,62,8
2,17,3,244,8
2,17,4,169,8
2,17,5,123,8
2,17,6,201,8
2,17,7,220,8
2,17,8,241,8
2,18,1,234,8
2,18,2,223,8
2,18,3,180,8
2,18,4,207,8
2,18,5,248,8
2,18,6,114,8
2,18,7,273,8
2,18,8,91,8
2,19,1,261,8
2,19,2,101,8
2,19,3,153,8
2,19,4,282,8
2,19,5,106,8
2,19,6,255,8
2,19,7,76,8
2,19,8,40,8
2,20,1,221,8
2,20,2,57,8
2,20,3,157,8
2,20,4,266,8
2,20,5,154,8
2,20,6,140,8
2,20,7,155,8
2,20,8,12,8
2,21,1,245,8
2,21,2,2,8
2,21,3,59,8
2,21,4,98,8
2,21,5,35,8
2,21,6,147,8
2,21,7,127,8
2,21,8,124,8
2,22,1,199,8
2,22,2,133,8
2,22,3,66,8
2,22,4,276,8
2,22,5,252,8
2,22,6,103,8
2,22,7,25,8
2,22,8,22,8
3,1,1,279,9
3,1,2,55,9
3,1,3,30,9
3,1,4,243,9
3,1,5,83,9
3,1,6,90,9
3,1,7,12,9
3,1,8,20,9
3,1,9,124,9
3,2,1,199,9
3,2,2,282,9
3,2,3,157,9
3,2,4,237,9
3,2,5,89,9
3,2,6,252,9
3,2,7,276,9
3,2,8,152,9
3,2,9,97,9
3,3,1,260,9
3,3,2,71,9
3,3,3,21,9
3,3,4,272,9
3,3,5,92,9
3,3,6,213,9
3,3,7,244,9
3,3,8,116,9
3,3,9,78,9
3,4,1,154,9
3,4,2,220,9
3,4,3,185,9
3,4,4,189,9
3,4,5,132,9
3,4,6,65,9
3,4,7,79,9
3,4,8,18,9
3,4,9,15,9
3,5,1,87,9
3,5,2,191,9
3,5,3,11,9
3,5,4,26,9
3,5,5,281,9
3,5,6,261,9
3,5,7,142,9
3,5,8,209,9
3,5,9,38,9
3,6,1,93,8
3,6,2,153,8
3,6,3,201,8
3,6,4,156,8
3,6,5,228,8
3,6,6,6,8
3,6,7,171,8
3,6,8,158,8
3,7,1,105,8
3,7,2,39,8
3,7,3,229,8
3,7,4,274,8
3,7,5,147,8
3,7,6,223,8
3,7,7,192,8
3,7,8,256,8
3,8,1,67,8
3,8,2,62,8
3,8,3,119,8
3,8,4,183,8
3,8,5,1,8
3,8,6,56,8
3,8,7,172,8
3,8,8,31,8
3,9,1,212,8
