experiment_split,language,same_text,images,median_aspect_ratio,median_file_size_kb,median_color_foreground_ratio
development_train,Arabic,0,226,0.731794,774.67041015625,0.027471633433869526
development_train,Arabic,1,226,0.7334130000000001,1182.24609375,0.046547269780585106
development_train,English,0,226,0.733849,1100.48583984375,0.02896572108957219
development_train,English,1,226,0.73357,1626.6953125,0.05946462789661319
official_test,Arabic,0,193,0.73219,743.7314453125,0.027714530414438502
official_test,Arabic,1,193,0.733017,1175.337890625,0.046223958333333336
official_test,English,0,193,0.733491,1095.9482421875,0.029691655585106384
official_test,English,1,193,0.733849,1655.267578125,0.0614974650930851
validation,Arabic,0,56,0.731715,751.177734375,0.027971354166666667
validation,Arabic,1,56,0.731992,1263.130859375,0.04529688190760389
validation,English,0,56,0.733017,1196.36279296875,0.029621843225022104
validation,English,1,56,0.7332540000000001,1713.48046875,0.05865327282272326
