model,stage,dimension,writer_auc,writer_eer,cross_script_auc,within_script_auc,script_probe_auc,script_probe_accuracy
dinov2_s,frozen,384,0.701295963461142,0.35995670995671,0.686558586502783,0.7717648423005565,1.0,1.0
dinov2_s,direct_lda,225,0.8469217042877758,0.22191558441558443,0.8041323631725417,0.9309543135435993,0.6384725765306122,0.6160714285714286
dinov2_s,pca225_lda,225,0.8991257440476191,0.17386363636363636,0.8680252782931354,0.9625927643784786,1.0,1.0
dinov2_b,frozen,768,0.6422378278963101,0.4107142857142857,0.6183774930426716,0.7635522959183674,1.0,1.0
dinov2_b,direct_lda,225,0.7370031630076274,0.32440476190476186,0.6963082676252318,0.8177324907235621,0.5491071428571429,0.5580357142857143
dinov2_b,pca225_lda,225,0.9149894995877138,0.1607142857142857,0.8900481215213357,0.9696138682745825,1.0,1.0
dinov2_l,frozen,1024,0.5798756860698826,0.4553571428571429,0.586215793135436,0.7390538033395176,1.0,1.0
dinov2_l,direct_lda,225,0.8274519751082251,0.25297619047619047,0.7915106099257885,0.8989477040816327,0.5177774234693877,0.5
dinov2_l,pca225_lda,225,0.8947487470366936,0.1785714285714286,0.8634247448979593,0.960337430426716,1.0,1.0
dinov2_g,frozen,1536,0.5828865021387342,0.450487012987013,0.5898263566790352,0.7315514842300557,1.0,1.0
dinov2_g,direct_lda,225,0.86566687280973,0.2142857142857143,0.8277713358070501,0.9419990723562152,0.5604272959183674,0.5535714285714286
dinov2_g,pca225_lda,224,0.9181004883013811,0.15773809523809523,0.8988998724489796,0.9616622217068644,0.9999202806122449,0.9910714285714286
