model,stage,dimension,removed_rank,original_script_auc,residual_script_auc,original_writer_auc,intervened_writer_auc,writer_auc_change,original_cross_auc,intervened_cross_auc,cross_auc_change,maximum_orthogonality_error,maximum_removed_component
dinov2_s,frozen,384,56,1.0,0.5833067602040817,0.701295963461142,0.7028439690270047,0.0015480055658627645,0.686558586502783,0.6931339865491652,0.00657540004638224,5.551115123125783e-16,2.177077962350893e-16
dinov2_s,direct_lda,225,56,0.6384725765306122,0.5625,0.8469217042877758,0.7987613700783343,-0.048160334209441547,0.8041323631725417,0.7420845895176251,-0.06204777365491654,6.661338147750939e-16,2.0122792321330962e-16
dinov2_s,pca225_lda,225,56,1.0,0.5073341836734694,0.8991257440476191,0.8416977491754278,-0.0574279948721913,0.8680252782931354,0.795521219851577,-0.07250405844155838,6.661338147750939e-16,1.8735013540549517e-16
dinov2_b,frozen,768,56,1.0,0.8975605867346939,0.6422378278963101,0.6850256390434962,0.042787811147186106,0.6183774930426716,0.669793599257885,0.05141610621521331,4.440892098500626e-16,1.4224732503009818e-16
dinov2_b,direct_lda,225,56,0.5491071428571429,0.5162627551020409,0.7370031630076274,0.726687313182849,-0.0103158498247784,0.6963082676252318,0.6891958487940631,-0.007112418831168643,6.661338147750939e-16,3.690624195140657e-16
dinov2_b,pca225_lda,225,56,1.0,0.5230389030612246,0.9149894995877138,0.8734510281385282,-0.041538471449185654,0.8900481215213357,0.8291352620593693,-0.06091285946196645,4.440892098500626e-16,2.480654570646834e-16
dinov2_l,frozen,1024,56,1.0,0.9712213010204083,0.5798756860698826,0.6724699159967017,0.0925942299268191,0.586215793135436,0.6616781655844156,0.07546237244897958,4.440892098500626e-16,4.9439619065339e-16
dinov2_l,direct_lda,225,56,0.5177774234693877,0.5177774234693877,0.8274519751082251,0.8082386363636362,-0.01921333874458886,0.7915106099257885,0.7748115723562152,-0.01669903756957325,4.440892098500626e-16,2.185751579730777e-16
dinov2_l,pca225_lda,225,56,1.0,0.41039540816326525,0.8947487470366936,0.8553366896000825,-0.039412057436611136,0.8634247448979593,0.8155162917439702,-0.04790845315398906,4.440892098500626e-16,3.191891195797325e-16
dinov2_g,frozen,1536,56,1.0,0.9723373724489797,0.5828865021387342,0.6529373776025562,0.07005087546382205,0.5898263566790352,0.6386566558441558,0.048830299165120605,4.440892098500626e-16,3.0596185307540935e-16
dinov2_g,direct_lda,225,56,0.5604272959183674,0.5557238520408163,0.86566687280973,0.8234209119253764,-0.04224596088435362,0.8277713358070501,0.7819341372912801,-0.04583719851576995,4.440892098500626e-16,2.484991379336776e-16
dinov2_g,pca225_lda,224,56,0.9999202806122449,0.561782525510204,0.9181004883013811,0.9020377563904348,-0.016062731910946315,0.8988998724489796,0.8773553455473099,-0.021544526901669747,4.440892098500626e-16,2.0122792321330962e-16
