model,stage,trial,random_cross_reliance,random_cross_auc_change
dinov2_s,frozen,0,0.004089458443343915,-0.0025082618274582247
dinov2_s,frozen,1,0.0035076780334973097,0.0014737215909091939
dinov2_s,frozen,2,0.0048084477112500515,-0.0013834937384042956
dinov2_s,frozen,3,0.003278176444102836,-0.003714923469387621
dinov2_s,frozen,4,0.005866350132172096,-0.005502449559369071
dinov2_s,frozen,5,0.0033133965759363083,-0.00130268726808902
dinov2_s,frozen,6,0.003101474349935361,0.0008352417671615431
dinov2_s,frozen,7,0.0032330667297772587,0.0015617752782931538
dinov2_s,frozen,8,0.004332855990801512,-0.0013139204545453698
dinov2_s,frozen,9,0.002912826650416853,-0.003939949559369049
dinov2_s,frozen,10,0.008311670896510854,0.0015552527829314489
dinov2_s,frozen,11,0.004641160972379872,-0.0007091401901668792
dinov2_s,frozen,12,0.004664516559787641,-0.0010874449211502046
dinov2_s,frozen,13,0.003639524439476735,0.0009762001391466768
dinov2_s,frozen,14,0.0034202925299414936,-0.001756725417439542
dinov2_s,frozen,15,0.0028825263409575554,-0.0020708922773654548
dinov2_s,frozen,16,0.003530916568861129,0.004081995013914819
dinov2_s,frozen,17,0.0034590919309250546,0.002134667787569655
dinov2_s,frozen,18,0.004318956918478256,-0.0016994724025972685
dinov2_s,frozen,19,0.004297162829168232,0.0013682745825603915
dinov2_s,direct_lda,0,0.030834101623858065,-0.01826045048701308
dinov2_s,direct_lda,1,0.0289571583822364,-0.015555426716140963
dinov2_s,direct_lda,2,0.031089607930782054,-0.011941601924860823
dinov2_s,direct_lda,3,0.031132391455289125,-0.003012668135435992
dinov2_s,direct_lda,4,0.03009828335068091,-0.020878870013914752
dinov2_s,direct_lda,5,0.03010988201518822,-0.008676005913729301
dinov2_s,direct_lda,6,0.029945714795750568,-0.015963082676252238
dinov2_s,direct_lda,7,0.03040445182286892,-0.0195812557977737
dinov2_s,direct_lda,8,0.03130074579410805,-0.00813862476808902
dinov2_s,direct_lda,9,0.03076518907844115,-0.014445515422077948
dinov2_s,direct_lda,10,0.030410806006041517,-0.0024466604823748517
dinov2_s,direct_lda,11,0.03126472090478715,-0.021437992810760753
dinov2_s,direct_lda,12,0.029965314504243744,-0.01242933963358095
dinov2_s,direct_lda,13,0.030073746475004288,-0.025899741999072412
dinov2_s,direct_lda,14,0.03034399148183358,-0.01727809021335802
dinov2_s,direct_lda,15,0.030514469865295123,-0.02842902075602982
dinov2_s,direct_lda,16,0.029599028939234634,-0.02242288961038963
dinov2_s,direct_lda,17,0.030527505117253776,-0.007682412453617782
dinov2_s,direct_lda,18,0.030502630967231083,-0.011267248376623407
dinov2_s,direct_lda,19,0.029360137150404808,-0.02454161352040829
dinov2_s,pca225_lda,0,0.030808065720568618,-0.026895328443877653
dinov2_s,pca225_lda,1,0.030829049690303943,-0.017651865433673475
dinov2_s,pca225_lda,2,0.030553323019284782,-0.015090698921613965
dinov2_s,pca225_lda,3,0.03064220790372635,-0.0317712560876624
dinov2_s,pca225_lda,4,0.029593377219119716,-0.02126279133812603
dinov2_s,pca225_lda,5,0.029552825751938277,-0.020783387929035335
dinov2_s,pca225_lda,6,0.030856788230579288,-0.013224902887291279
dinov2_s,pca225_lda,7,0.0302275241190308,-0.02588397930194808
dinov2_s,pca225_lda,8,0.030153326752775007,-0.012488585633116944
dinov2_s,pca225_lda,9,0.030610584280208065,-0.019166896161873725
dinov2_s,pca225_lda,10,0.03165865063573685,-0.017966757015306256
dinov2_s,pca225_lda,11,0.03049852338847216,-0.02478167758580707
dinov2_s,pca225_lda,12,0.030226460322903218,-0.010005326704545459
dinov2_s,pca225_lda,13,0.03070051961390743,-0.022107092126623318
dinov2_s,pca225_lda,14,0.03101934466126143,-0.016790896045918213
dinov2_s,pca225_lda,15,0.03084375101892401,-0.012535330183209625
dinov2_s,pca225_lda,16,0.029892947749007817,-0.020756935586734637
dinov2_s,pca225_lda,17,0.031092161132735774,-0.024561724547773722
dinov2_s,pca225_lda,18,0.02969176904709476,-0.014787765248144735
dinov2_s,pca225_lda,19,0.030201305399539104,-0.017818551426252327
dinov2_b,frozen,0,0.002382668165785938,0.0014485375115954602
dinov2_b,frozen,1,0.0033193346147514665,-0.0007488187036178706
dinov2_b,frozen,2,0.0029047129381497665,-0.0003234070616884299
dinov2_b,frozen,3,0.002859740006488848,-0.0004415366999073189
dinov2_b,frozen,4,0.005119130720079918,1.3226171150293453e-05
dinov2_b,frozen,5,0.002248342239358512,0.0007872289540815647
dinov2_b,frozen,6,0.00351992845225483,-0.0012409047425788744
dinov2_b,frozen,7,0.0033726647734753576,0.0013891103316326925
dinov2_b,frozen,8,0.0028233672343147363,-0.0008553527945269757
dinov2_b,frozen,9,0.0020991920743255532,2.119810992573523e-05
dinov2_b,frozen,10,0.003242682909027119,0.0024486534670684623
dinov2_b,frozen,11,0.0027798657675834285,0.0033686876739331684
dinov2_b,frozen,12,0.004204679299203515,-8.207473330246184e-05
dinov2_b,frozen,13,0.00353811351461902,0.00017483911178095557
dinov2_b,frozen,14,0.0025432035829603666,-4.185267857148567e-05
dinov2_b,frozen,15,0.004432579062081333,0.00029695471938762097
dinov2_b,frozen,16,0.009722574541281113,-0.00038718257189240823
dinov2_b,frozen,17,0.002720830815058927,-0.00010888943645648297
dinov2_b,frozen,18,0.0023137889630286982,-0.0005915540932281971
dinov2_b,frozen,19,0.0027584851448904713,-0.0017018277481447575
dinov2_b,direct_lda,0,0.029979053910732155,0.007065674281076073
dinov2_b,direct_lda,1,0.029559353278106895,-0.0054509943181816345
dinov2_b,direct_lda,2,0.02995640431537863,-0.001537134740259516
dinov2_b,direct_lda,3,0.029828864997124088,-0.011702081400741915
dinov2_b,direct_lda,4,0.03101723864789319,-0.012450356563079579
dinov2_b,direct_lda,5,0.030523848216873924,-0.009376087082560214
dinov2_b,direct_lda,6,0.03008574572089658,0.0011374507189241267
dinov2_b,direct_lda,7,0.02917870222126277,-0.012134377898886606
dinov2_b,direct_lda,8,0.030614834669997447,-0.006719982026901494
dinov2_b,direct_lda,9,0.03001257635382849,0.00195131319573294
dinov2_b,direct_lda,10,0.0304303216869108,-0.010940398886827296
dinov2_b,direct_lda,11,0.03107148140318647,-0.012751116071428426
dinov2_b,direct_lda,12,0.02988977979617514,-0.010579487476808702
dinov2_b,direct_lda,13,0.029708869061703044,-0.004503783047309695
dinov2_b,direct_lda,14,0.03048840641607304,-0.009634812731910802
dinov2_b,direct_lda,15,0.030703027098152896,-0.012676107374767875
dinov2_b,direct_lda,16,0.03052641343060612,-0.005656452922077837
dinov2_b,direct_lda,17,0.03037447259785892,-0.007610665004638029
dinov2_b,direct_lda,18,0.029858340756067536,0.0006725417439703563
dinov2_b,direct_lda,19,0.03128642135717818,-0.008475258000927521
dinov2_b,pca225_lda,0,0.029625795856752162,-0.02258848852040818
dinov2_b,pca225_lda,1,0.0301862323327123,-0.020648046150278265
dinov2_b,pca225_lda,2,0.0295780348724772,-0.01063094271799625
dinov2_b,pca225_lda,3,0.030273730876406696,-0.012093431122448872
dinov2_b,pca225_lda,4,0.029388041683670724,-0.009958400974026116
dinov2_b,pca225_lda,5,0.030190216930999693,-0.008105287569573294
dinov2_b,pca225_lda,6,0.029888712892211306,-0.013192833951762517
dinov2_b,pca225_lda,7,0.030200481510034557,-0.008739781423933168
dinov2_b,pca225_lda,8,0.03177626243712852,-0.028082966141001697
dinov2_b,pca225_lda,9,0.0297783322337172,-0.011537931934137324
dinov2_b,pca225_lda,10,0.029428849288544626,-0.02629471532931338
dinov2_b,pca225_lda,11,0.031334227097998435,-0.03670244376159548
dinov2_b,pca225_lda,12,0.0300489167862287,-0.007863955241187326
dinov2_b,pca225_lda,13,0.03133618888790855,-0.027572762059369094
dinov2_b,pca225_lda,14,0.0298367891138597,-0.00902640885899808
dinov2_b,pca225_lda,15,0.029990073717528536,-0.02386363636363642
dinov2_b,pca225_lda,16,0.028922362084126203,-0.013291758464749504
dinov2_b,pca225_lda,17,0.03023012959521159,-0.016848692602040694
dinov2_b,pca225_lda,18,0.029849614479678654,-0.006318486201298712
dinov2_b,pca225_lda,19,0.0314746867689841,-0.024331081864564008
dinov2_l,frozen,0,0.002378671594411496,-0.0007393973214285809
dinov2_l,frozen,1,0.002236969153978504,-0.0009042715097403731
dinov2_l,frozen,2,0.0048559045438434445,-0.0011401684253248279
dinov2_l,frozen,3,0.0028274796708990546,0.0004281293483301418
dinov2_l,frozen,4,0.002778431056078101,-0.00023607809601122742
dinov2_l,frozen,5,0.001921026639120946,0.0008850663845082485
dinov2_l,frozen,6,0.0020354000932439726,0.0014604954197587894
dinov2_l,frozen,7,0.0024360988088338795,-0.0006183687963823292
dinov2_l,frozen,8,0.0030490109354375816,0.0011148031655843216
dinov2_l,frozen,9,0.0017565960207822898,-0.00015019857374765078
dinov2_l,frozen,10,0.0022098629998068054,-0.00022629435296861455
dinov2_l,frozen,11,0.002833173743169324,0.0007803440978663145
dinov2_l,frozen,12,0.004543706142192897,0.0009071703965676248
dinov2_l,frozen,13,0.0029350165235491237,-0.0004973402713358555
dinov2_l,frozen,14,0.002039502007172962,-0.0002458618390538403
dinov2_l,frozen,15,0.0017322806829043911,-0.0002647046034323086
dinov2_l,frozen,16,0.002268257410406838,-0.0011662584067718695
dinov2_l,frozen,17,0.0037739958718977463,-0.00028354736781088796
dinov2_l,frozen,18,0.006602678969499958,-0.0004491462778293265
dinov2_l,frozen,19,0.002582612803318083,-0.0006955516581633736
dinov2_l,direct_lda,0,0.031119134521731075,-0.010203719271799527
dinov2_l,direct_lda,1,0.029885746444652698,-0.00540316268552854
dinov2_l,direct_lda,2,0.02950166026874402,-0.009641697588126052
dinov2_l,direct_lda,3,0.02990315889814843,-0.015442732490723587
dinov2_l,direct_lda,4,0.030887042423420254,-0.024949631841372888
dinov2_l,direct_lda,5,0.029310773904930497,-0.010589995941558406
dinov2_l,direct_lda,6,0.030801601423148497,-0.011729620825602805
dinov2_l,direct_lda,7,0.0303377732490069,-0.016608084995361594
dinov2_l,direct_lda,8,0.03037021875930766,-0.005725301484230005
dinov2_l,direct_lda,9,0.030827098962532575,-0.009234041628014777
dinov2_l,direct_lda,10,0.031191082775391715,-0.01032547251855287
dinov2_l,direct_lda,11,0.029478145132696584,-0.018196312615955557
dinov2_l,direct_lda,12,0.02982200887636026,-0.020963662453617693
dinov2_l,direct_lda,13,0.03065862578190011,-0.007741114911873681
dinov2_l,direct_lda,14,0.030234762608226405,-0.021201733534322864
dinov2_l,direct_lda,15,0.0302265694336264,-0.011644103664192995
dinov2_l,direct_lda,16,0.030392863007754362,-0.011616201878478671
dinov2_l,direct_lda,17,0.029611963145029632,-0.017050889958255988
dinov2_l,direct_lda,18,0.029786325806543005,-0.016956676136363424
dinov2_l,direct_lda,19,0.030318573255480236,-0.02774669526901674
dinov2_l,pca225_lda,0,0.030822496020395048,-0.020362324617346883
dinov2_l,pca225_lda,1,0.03168403293860567,-0.00606465242346943
dinov2_l,pca225_lda,2,0.03020666224881317,-0.018847293889146632
dinov2_l,pca225_lda,3,0.0298588430642813,-0.007822464923469497
dinov2_l,pca225_lda,4,0.029930338343891538,-0.02181213039192953
dinov2_l,pca225_lda,5,0.030304949819030227,-0.0024272741767161765
dinov2_l,pca225_lda,6,0.03049600901688557,-0.013037199965213464
dinov2_l,pca225_lda,7,0.02982938460425797,-0.013806129696196767
dinov2_l,pca225_lda,8,0.030323366154705426,-0.01759280061456403
dinov2_l,pca225_lda,9,0.030084978083774288,-0.013293389088590013
dinov2_l,pca225_lda,10,0.03053173038478099,-0.016066174339053774
dinov2_l,pca225_lda,11,0.030815222432071115,-0.008920780670222617
dinov2_l,pca225_lda,12,0.030772875374449886,-0.014207263160946115
dinov2_l,pca225_lda,13,0.030095963213042674,-0.006594061630334047
dinov2_l,pca225_lda,14,0.03136575073290183,-0.018693290526437867
dinov2_l,pca225_lda,15,0.031552740967970526,-0.0343494535598331
dinov2_l,pca225_lda,16,0.030385702226886167,-0.0006252536525974683
dinov2_l,pca225_lda,17,0.03144366340332928,-0.023892444051484274
dinov2_l,pca225_lda,18,0.030971403368161267,-0.01824215126391482
dinov2_l,pca225_lda,19,0.030802011605887955,-0.009149068007885175
dinov2_g,frozen,0,0.0012010798964457304,0.00045059572124295233
dinov2_g,frozen,1,0.0013387003031567683,0.0004701632073282891
dinov2_g,frozen,2,0.0011975473871403718,-0.0003270306702226611
dinov2_g,frozen,3,0.005454318798120205,-0.00108871318413728
dinov2_g,frozen,4,0.0022980966879764518,-0.00015563398654927507
dinov2_g,frozen,5,0.004298576637033836,-8.751014610397512e-05
dinov2_g,frozen,6,0.0015196186683856404,-0.00035493245593698486
dinov2_g,frozen,7,0.002611244481743522,-0.000857526959647581
dinov2_g,frozen,8,0.0025762822666052622,-0.0007865042323748073
dinov2_g,frozen,9,0.0034744817286111724,-0.00035457009508355064
dinov2_g,frozen,10,0.001394321278054969,0.0003730504986084737
dinov2_g,frozen,11,0.00153765518081914,0.0006252536525973573
dinov2_g,frozen,12,0.0022408722100227445,-0.0004158090793134894
dinov2_g,frozen,13,0.0025847180753762002,-0.0007122202574212366
dinov2_g,frozen,14,0.0012051546248580988,0.00021252464053789222
dinov2_g,frozen,15,0.007163544287118325,0.0003034772147495479
dinov2_g,frozen,16,0.0016170444034053573,0.000476685702690105
dinov2_g,frozen,17,0.0012857947913971742,-0.00032413178339518733
dinov2_g,frozen,18,0.001748562144617084,1.6487418831090395e-05
dinov2_g,frozen,19,0.0014043038384313126,-0.0003415251043599188
dinov2_g,direct_lda,0,0.03052003029825492,-0.012677919179035158
dinov2_g,direct_lda,1,0.029356849473753083,-0.011459661989795755
dinov2_g,direct_lda,2,0.030558853899382135,-0.02575479765769928
