model,removed_rank,trial,random_cross_reliance,random_cross_auc_change
dinov2_s,1,0,0.002946916661025708,-0.0012887363752318581
dinov2_s,2,0,0.004684415807646219,-0.0005535062036179372
dinov2_s,4,0,0.00732510518968983,-0.0012314833603895847
dinov2_s,8,0,0.010370327412646636,-0.0022671106794991402
dinov2_s,16,0,0.014617647661182292,-0.0010448675208719616
dinov2_s,32,0,0.021857927878268787,-0.011697914250927588
dinov2_s,56,0,0.030808065720568618,-0.026895328443877653
dinov2_s,1,1,0.0022186000141268198,-3.4243100649367086e-05
dinov2_s,2,1,0.004454884899653913,-0.0006727229243970179
dinov2_s,4,1,0.00718484660105132,-0.0012166265653988928
dinov2_s,8,1,0.010382504522933501,-0.003409634450371235
dinov2_s,16,1,0.014667323945549622,-0.007857613926252283
dinov2_s,32,1,0.021691909914838745,-0.011873659264842407
dinov2_s,56,1,0.030829049690303943,-0.017651865433673475
dinov2_s,1,2,0.0025644643666714985,-6.468141233761937e-05
dinov2_s,2,2,0.004989800857118117,-0.0009861650626159513
dinov2_s,4,2,0.007297454107018221,-0.0014329559948978998
dinov2_s,8,2,0.010311110649128395,-0.0019286656423932458
dinov2_s,16,2,0.014485009489197368,-0.002932042845547267
dinov2_s,32,2,0.021556915179371153,-0.006883950313079756
dinov2_s,56,2,0.030553323019284782,-0.015090698921613965
dinov2_s,1,3,0.0025028527210747054,-0.0008296251739331462
dinov2_s,2,3,0.004149667895783285,-0.001551447993970334
dinov2_s,4,3,0.006235667551748321,-0.0024703951182746264
dinov2_s,8,3,0.00919365760071901,-0.004013689993042746
dinov2_s,16,3,0.013840648197644672,-0.008561681064471305
dinov2_s,32,3,0.021652598891933307,-0.014390255391929507
dinov2_s,56,3,0.03064220790372635,-0.0317712560876624
dinov2_s,1,4,0.003218131066914377,-0.001880834009740262
dinov2_s,2,4,0.004624681949611904,-0.002421114042207795
dinov2_s,4,4,0.006586731769451953,-0.0022007986433209004
dinov2_s,8,4,0.008991270074152583,-0.00230334676484234
dinov2_s,16,4,0.014418457626758849,-0.004590206110853479
dinov2_s,32,4,0.02085549874491424,-0.013044809543135472
dinov2_s,56,4,0.029593377219119716,-0.02126279133812603
dinov2_s,1,5,0.0028137640857866745,-0.00020310325834871357
dinov2_s,2,5,0.004638467979872207,-0.00038138479823757176
dinov2_s,4,5,0.0066410105751558025,-0.0020159946080704483
dinov2_s,8,5,0.009635551648176055,-0.0025653336618737255
dinov2_s,16,5,0.014078415072716857,-0.005259486607142816
dinov2_s,32,5,0.02121916927816834,-0.010114034960575169
dinov2_s,56,5,0.029552825751938277,-0.020783387929035335
dinov2_s,1,6,0.00316127839443727,-0.0003520335691095111
dinov2_s,2,6,0.004702743168905132,-0.0009600750811689096
dinov2_s,4,6,0.007291169077539921,-0.001900763856679033
dinov2_s,8,6,0.010347638767942329,-0.002697957734229983
dinov2_s,16,6,0.0147716472712619,-0.0069473634624306335
dinov2_s,32,6,0.02164547459952585,-0.009361411467996184
dinov2_s,56,6,0.030856788230579288,-0.013224902887291279
dinov2_s,1,7,0.00288605105987402,-0.00019150771103904063
dinov2_s,2,7,0.004715102868629801,-0.00034261218692033246
dinov2_s,4,7,0.006354041193000374,8.243709415578504e-05
dinov2_s,8,7,0.009244743162038035,-0.005484512697124355
dinov2_s,16,7,0.014486262592178813,-0.00731552208951769
dinov2_s,32,7,0.021311622347326104,-0.010537997159090873
dinov2_s,56,7,0.0302275241190308,-0.02588397930194808
dinov2_s,1,8,0.002370519809512486,0.0005433600997217791
dinov2_s,2,8,0.004401750509947457,-0.00011722373608546999
dinov2_s,4,8,0.006675576011060202,0.0003621796730056692
dinov2_s,8,8,0.009609488586714926,-0.00039986520176249485
dinov2_s,16,8,0.013881911952549843,-0.0010412439123375083
dinov2_s,32,8,0.021629061529046166,-0.007867397669295007
dinov2_s,56,8,0.030153326752775007,-0.012488585633116944
dinov2_s,1,9,0.002735646058705479,0.0006353997564935154
dinov2_s,2,9,0.004011509311505798,0.0008339735041743568
dinov2_s,4,9,0.006423814445082194,0.0009006479012059199
dinov2_s,8,9,0.009803379407928296,-0.0003516712082560769
dinov2_s,16,9,0.014470660891875167,-0.003597699733302484
dinov2_s,32,9,0.022264262455520982,-0.01007272582328389
dinov2_s,56,9,0.030610584280208065,-0.019166896161873725
dinov2_s,1,10,0.0025015943349666818,-1.2501449443536039e-05
dinov2_s,2,10,0.003946660546494292,0.0002926063891466324
dinov2_s,4,10,0.006016315792967396,-0.0005263291396104819
dinov2_s,8,10,0.009996834492514237,-0.005122876565398782
dinov2_s,16,10,0.014384753454985686,-0.008774024524582535
dinov2_s,32,10,0.022073141982300135,-0.006733570558905444
dinov2_s,56,10,0.03165865063573685,-0.017966757015306256
dinov2_s,1,11,0.0029945796445648362,-0.0011825646451760763
dinov2_s,2,11,0.004168838342116097,-0.0009535525858070937
dinov2_s,4,11,0.0062624286416953796,-0.0008437572472170807
dinov2_s,8,11,0.010429476972647954,-0.001444913903061118
dinov2_s,16,11,0.015303528130415913,-0.004943145582096298
dinov2_s,32,11,0.022025745667570984,-0.016508979301948057
dinov2_s,56,11,0.03049852338847216,-0.02478167758580707
dinov2_s,1,12,0.0031622858605365087,-0.0003614549512988008
dinov2_s,2,12,0.004909184468588158,-0.0017438616071429047
dinov2_s,4,12,0.0065866569382617484,-0.0014970938659556454
dinov2_s,8,12,0.009891522335723792,-0.0004596547425788078
dinov2_s,16,12,0.013804225088519815,-0.0003099997101112528
dinov2_s,32,12,0.021009553521528664,0.0031230070153062117
dinov2_s,56,12,0.030226460322903218,-0.010005326704545459
dinov2_s,1,13,0.0031438432286613493,5.8158916975914465e-05
dinov2_s,2,13,0.004735411999250092,0.0002741259856215983
dinov2_s,4,13,0.006673007129526399,-0.0004770480635437613
dinov2_s,8,13,0.00977766421503756,-0.001897502608998014
dinov2_s,16,13,0.014477073941644042,-0.004814869839981362
dinov2_s,32,13,0.022183157336644204,-0.017456915294526865
dinov2_s,56,13,0.03070051961390743,-0.022107092126623318
dinov2_s,1,14,0.0025776091165852708,-0.0012919976229128771
dinov2_s,2,14,0.0037721047316798036,-0.0010785670802412328
dinov2_s,4,14,0.005764299152035421,-0.0015206473214285365
dinov2_s,8,14,0.009335002514813631,-0.003861860795454697
dinov2_s,16,14,0.014789955584993067,-0.007951103026437867
dinov2_s,32,14,0.021515032346240758,-0.012013530554267349
dinov2_s,56,14,0.03101934466126143,-0.016790896045918213
dinov2_s,1,15,0.00293417744137236,-0.0008314369782002062
dinov2_s,2,15,0.004747296782284911,-0.001017328096011072
dinov2_s,4,15,0.0068763327249463475,-0.0018250304383117255
dinov2_s,8,15,0.009758485986578335,-0.0034455081748610006
dinov2_s,16,15,0.013764026173609653,-0.005761356389146655
dinov2_s,32,15,0.021595173276311306,-0.009566870071892386
dinov2_s,56,15,0.03084375101892401,-0.012535330183209625
dinov2_s,1,16,0.002725882468570111,-0.0005777843807979188
dinov2_s,2,16,0.004198416326748599,-0.0003230447008348847
dinov2_s,4,16,0.007267592618434172,-0.0019612781192022144
dinov2_s,8,16,0.01046804820112329,-0.004112252145176298
dinov2_s,16,16,0.014565307333096526,-0.003489716198979531
dinov2_s,32,16,0.021716832674220463,-0.009384964923469408
dinov2_s,56,16,0.029892947749007817,-0.020756935586734637
dinov2_s,1,17,0.0029665713437993842,0.0003034772147495479
dinov2_s,2,17,0.00511637551125472,6.28696080705593e-05
dinov2_s,4,17,0.007257524189632991,0.0003513088474027537
dinov2_s,8,17,0.010134805845007309,-0.0016916816442485993
dinov2_s,16,17,0.014872763430974125,-0.0052054948399814505
dinov2_s,32,17,0.021888725515001504,-0.010510820095083417
dinov2_s,56,17,0.031092161132735774,-0.024561724547773722
dinov2_s,1,18,0.002868974686859492,-0.0012742419410948225
dinov2_s,2,18,0.004494495352087364,-0.002183767683209714
dinov2_s,4,18,0.006568377236044018,-0.003038939297309917
dinov2_s,8,18,0.009838265083558822,-0.007003167033858948
dinov2_s,16,18,0.014747571437174539,-0.008871499594155896
dinov2_s,32,18,0.021624090714560486,-0.009489324849257907
dinov2_s,56,18,0.02969176904709476,-0.014787765248144735
dinov2_s,1,19,0.0028880804658005304,-0.0001708531423932902
dinov2_s,2,19,0.004310628335852137,-0.0006216300440630151
dinov2_s,4,19,0.006832528076681628,-0.0035118202110390184
dinov2_s,8,19,0.01037614873615523,-0.00619510233070486
dinov2_s,16,19,0.01483242966382492,-0.0057345416859925225
dinov2_s,32,19,0.021379793448760554,-0.010678955531076229
dinov2_s,56,19,0.030201305399539104,-0.017818551426252327
dinov2_b,1,0,0.002571444126837164,0.0001206661641928175
dinov2_b,2,0,0.004171580964907304,-0.0006613085575138955
dinov2_b,4,0,0.006402518899017343,-0.0024517335343228197
dinov2_b,8,0,0.009428892649464672,-0.0037841343923933346
dinov2_b,16,0,0.014158613867677096,-0.007455212198515748
dinov2_b,32,0,0.020174507412674993,-0.012096330009276346
dinov2_b,56,0,0.029625795856752162,-0.02258848852040818
dinov2_b,1,1,0.0027067944585167573,0.0010200458024118841
dinov2_b,2,1,0.00458761862422697,0.0007018929730984169
dinov2_b,4,1,0.006673117575414229,-0.00010943297773657878
dinov2_b,8,1,0.0096116862971189,-0.0008370535714283811
dinov2_b,16,1,0.014502000356721044,-0.0031514523423004093
dinov2_b,32,1,0.020859193281152797,-0.007226200139146544
dinov2_b,56,1,0.0301862323327123,-0.020648046150278265
dinov2_b,1,2,0.0028853814220872985,0.00162373898422985
dinov2_b,2,2,0.004458475928738715,0.0001895147263449859
dinov2_b,4,2,0.006832074961069594,0.000995042903525034
dinov2_b,8,2,0.009827388853157983,0.0016041714981447353
dinov2_b,16,2,0.014307106615553358,0.0024977533627087434
dinov2_b,32,2,0.02085772261064705,-0.004707792207792161
dinov2_b,56,2,0.0295780348724772,-0.01063094271799625
dinov2_b,1,3,0.0033783676195521164,-0.002844895060296837
dinov2_b,2,3,0.004551717117273217,-0.002991288845083484
dinov2_b,4,3,0.007169439191376064,-0.0015875028988868722
dinov2_b,8,3,0.010971083950839795,-0.00374499942022255
dinov2_b,16,3,0.014699154341782303,0.0005634711270872117
dinov2_b,32,3,0.02126940130235882,-0.00632174744897962
dinov2_b,56,3,0.030273730876406696,-0.012093431122448872
dinov2_b,1,4,0.002489779433614248,-8.080647031549759e-05
dinov2_b,2,4,0.004187128442361133,-2.5002898886850033e-05
dinov2_b,4,4,0.006701372246420028,0.0003098185296845912
dinov2_b,8,4,0.010105885298346808,-0.0015342358534322642
dinov2_b,16,4,0.014786668316465482,0.0006790642393321722
dinov2_b,32,4,0.02145394103486455,-0.0006218112244897878
dinov2_b,56,4,0.029388041683670724,-0.009958400974026116
dinov2_b,1,5,0.003201611953811958,-0.00015110447588129183
dinov2_b,2,5,0.00454409944808069,-0.0007816123608533898
dinov2_b,4,5,0.006604340049075621,-0.000740303223562222
dinov2_b,8,5,0.009500150740688107,-0.0003808412569571429
dinov2_b,16,5,0.014272630455018358,-0.0028343865955472447
dinov2_b,32,5,0.021180959752582086,-0.007080168715213331
dinov2_b,56,5,0.030190216930999693,-0.008105287569573294
dinov2_b,1,6,0.002773987897659829,-3.188775510210018e-05
dinov2_b,2,6,0.004324932162944799,0.00017175904452682023
dinov2_b,4,6,0.0063920576649496175,-4.348330241188414e-05
dinov2_b,8,6,0.00991191271996502,-0.0003380826762522382
dinov2_b,16,6,0.014734771717589584,-0.0031068819573283335
dinov2_b,32,6,0.021272085434417533,-0.005554267161409943
dinov2_b,56,6,0.029888712892211306,-0.013192833951762517
dinov2_b,1,7,0.0025610481173088282,-0.00026995883580704927
dinov2_b,2,7,0.003957786760422777,-0.0006232606679036357
dinov2_b,4,7,0.006158824269618998,-0.00024314413265302814
dinov2_b,8,7,0.00971708442929698,-0.00039207444341360365
dinov2_b,16,7,0.014154276235310344,-0.00047904104823748295
dinov2_b,32,7,0.021003665778614726,-0.0083940891697587
dinov2_b,56,7,0.030200481510034557,-0.008739781423933168
dinov2_b,1,8,0.0026584519439725694,0.0005569486317256178
dinov2_b,2,8,0.004530730220896202,0.00015581516697582565
dinov2_b,4,8,0.007094103032903371,0.0016324356447123822
dinov2_b,8,8,0.010236631414020208,0.0017643349953617715
dinov2_b,16,8,0.01565645881036533,-0.0027372738868274293
dinov2_b,32,8,0.02303435713273444,-0.01814159612708721
dinov2_b,56,8,0.03177626243712852,-0.028082966141001697
dinov2_b,1,9,0.0027945302914529563,0.00035185238868262747
dinov2_b,2,9,0.004570553307975592,4.964343692026585e-05
dinov2_b,4,9,0.006368373206771616,0.0002848156307978522
dinov2_b,8,9,0.009576226047700415,-0.002568776089981406
dinov2_b,16,9,0.01451559662861693,-0.0021669179035248565
dinov2_b,32,9,0.021150067824932468,-0.004296875000000089
dinov2_b,56,9,0.0297783322337172,-0.011537931934137324
dinov2_b,1,10,0.0031573586652658345,-0.0007102272727271819
dinov2_b,2,10,0.004500342941693964,-0.0007566094619664288
dinov2_b,4,10,0.006328656078843701,-0.0024245564703154754
dinov2_b,8,10,0.00978365452616198,-0.003182615375695752
dinov2_b,16,10,0.014236782999180958,-0.006026423353432175
dinov2_b,32,10,0.02022556654476351,-0.011629246869202192
dinov2_b,56,10,0.029428849288544626,-0.02629471532931338
dinov2_b,1,11,0.0032770176828810548,-0.00313587082560296
dinov2_b,2,11,0.004361002699098165,-0.0038453733766233844
