condition,auc,eer,model
arabic_variable_same,0.7598678107606679,0.3392857142857143,dinov2_vitg14_reg_frozen
english_variable_same,0.7032351576994433,0.375,dinov2_vitg14_reg_frozen
cross_variable_variable,0.5882942949907236,0.4642857142857143,dinov2_vitg14_reg_frozen
cross_variable_same,0.5516059833024118,0.46525974025974026,dinov2_vitg14_reg_frozen
cross_same_variable,0.615694573283859,0.40974025974025974,dinov2_vitg14_reg_frozen
cross_same_same,0.6037105751391466,0.4285714285714286,dinov2_vitg14_reg_frozen
arabic_variable_same,0.9157351576994434,0.1785714285714286,dinov2_vitg14_reg_writer_lda
english_variable_same,0.968262987012987,0.1071428571428571,dinov2_vitg14_reg_writer_lda
cross_variable_variable,0.8015132189239332,0.2857142857142857,dinov2_vitg14_reg_writer_lda
cross_variable_same,0.7772669294990723,0.2857142857142857,dinov2_vitg14_reg_writer_lda
cross_same_variable,0.8417207792207791,0.2318181818181818,dinov2_vitg14_reg_writer_lda
cross_same_same,0.8905844155844156,0.1785714285714286,dinov2_vitg14_reg_writer_lda
