condition,auc,eer,model
arabic_variable_same,0.7609172077922078,0.3214285714285714,dinov2_vitl14_reg_frozen
english_variable_same,0.7171903988868276,0.3571428571428571,dinov2_vitl14_reg_frozen
cross_variable_variable,0.5914946660482374,0.46655844155844156,dinov2_vitl14_reg_frozen
cross_variable_same,0.5568790584415585,0.461038961038961,dinov2_vitl14_reg_frozen
cross_same_variable,0.596596706864564,0.43766233766233764,dinov2_vitl14_reg_frozen
cross_same_same,0.5998898423005565,0.4107142857142857,dinov2_vitl14_reg_frozen
arabic_variable_same,0.8966141001855287,0.16883116883116883,dinov2_vitl14_reg_writer_lda
english_variable_same,0.9012813079777366,0.1785714285714286,dinov2_vitl14_reg_writer_lda
cross_variable_variable,0.8115375695732838,0.25,dinov2_vitl14_reg_writer_lda
cross_variable_same,0.7235273654916512,0.3392857142857143,dinov2_vitl14_reg_writer_lda
cross_same_variable,0.807218228200371,0.2866883116883117,dinov2_vitl14_reg_writer_lda
cross_same_same,0.8237476808905381,0.2857142857142857,dinov2_vitl14_reg_writer_lda
