condition,auc,eer,model,adaptation
arabic_variable_same,0.7264668367346939,0.33246753246753247,vit_b_16_swag_e2e,frozen
english_variable_same,0.7526901669758813,0.33311688311688314,vit_b_16_swag_e2e,frozen
cross_variable_variable,0.6645611085343228,0.3970779220779221,vit_b_16_swag_e2e,frozen
cross_variable_same,0.596103896103896,0.4285714285714286,vit_b_16_swag_e2e,frozen
cross_same_variable,0.6632479128014842,0.3928571428571429,vit_b_16_swag_e2e,frozen
cross_same_same,0.6673411410018553,0.375,vit_b_16_swag_e2e,frozen
arabic_variable_same,0.769724025974026,0.29675324675324677,vit_b_16_swag_e2e,writer_lda
english_variable_same,0.8307397959183674,0.2327922077922078,vit_b_16_swag_e2e,writer_lda
cross_variable_variable,0.6513798701298702,0.38831168831168833,vit_b_16_swag_e2e,writer_lda
cross_variable_same,0.6441906307977736,0.3795454545454545,vit_b_16_swag_e2e,writer_lda
cross_same_variable,0.6400684137291279,0.3928571428571429,vit_b_16_swag_e2e,writer_lda
cross_same_same,0.6870999536178107,0.375,vit_b_16_swag_e2e,writer_lda
arabic_variable_same,0.7660830241187384,0.30194805194805197,efficientnet_v2_l,frozen
english_variable_same,0.7781597866419294,0.3214285714285714,efficientnet_v2_l,frozen
cross_variable_variable,0.6748956400742115,0.3571428571428571,efficientnet_v2_l,frozen
cross_variable_same,0.58055426716141,0.4837662337662338,efficientnet_v2_l,frozen
cross_same_variable,0.6598794063079777,0.39805194805194805,efficientnet_v2_l,frozen
cross_same_same,0.6711444805194806,0.375,efficientnet_v2_l,frozen
arabic_variable_same,0.8379522263450835,0.25,efficientnet_v2_l,writer_lda
english_variable_same,0.8642567254174397,0.1785714285714286,efficientnet_v2_l,writer_lda
cross_variable_variable,0.712847866419295,0.34805194805194806,efficientnet_v2_l,writer_lda
cross_variable_same,0.6799744897959183,0.3928571428571429,efficientnet_v2_l,writer_lda
cross_same_variable,0.7522321428571428,0.3035714285714286,efficientnet_v2_l,writer_lda
cross_same_same,0.7580009276437848,0.3035714285714286,efficientnet_v2_l,writer_lda
arabic_variable_same,0.7609172077922078,0.3214285714285714,dinov2_vitl14_reg,frozen
english_variable_same,0.7171903988868276,0.3571428571428571,dinov2_vitl14_reg,frozen
cross_variable_variable,0.5914946660482374,0.46655844155844156,dinov2_vitl14_reg,frozen
cross_variable_same,0.5568790584415585,0.461038961038961,dinov2_vitl14_reg,frozen
cross_same_variable,0.596596706864564,0.43766233766233764,dinov2_vitl14_reg,frozen
cross_same_same,0.5998898423005565,0.4107142857142857,dinov2_vitl14_reg,frozen
arabic_variable_same,0.8966141001855287,0.16883116883116883,dinov2_vitl14_reg,writer_lda
english_variable_same,0.9012813079777366,0.1785714285714286,dinov2_vitl14_reg,writer_lda
cross_variable_variable,0.8115375695732838,0.25,dinov2_vitl14_reg,writer_lda
cross_variable_same,0.7235273654916512,0.3392857142857143,dinov2_vitl14_reg,writer_lda
cross_same_variable,0.807218228200371,0.2866883116883117,dinov2_vitl14_reg,writer_lda
cross_same_same,0.8237476808905381,0.2857142857142857,dinov2_vitl14_reg,writer_lda
arabic_variable_same,0.7380160018552875,0.3214285714285714,vit_h_14_swag_e2e,frozen
english_variable_same,0.7090851113172542,0.3392857142857143,vit_h_14_swag_e2e,frozen
cross_variable_variable,0.5864448051948051,0.4142857142857143,vit_h_14_swag_e2e,frozen
cross_variable_same,0.5558035714285714,0.45876623376623377,vit_h_14_swag_e2e,frozen
cross_same_variable,0.59479939703154,0.4464285714285714,vit_h_14_swag_e2e,frozen
cross_same_same,0.628542439703154,0.4107142857142857,vit_h_14_swag_e2e,frozen
arabic_variable_same,0.9163381261595548,0.16428571428571428,vit_h_14_swag_e2e,writer_lda
english_variable_same,0.6864679962894248,0.3866883116883117,vit_h_14_swag_e2e,writer_lda
cross_variable_variable,0.6192312152133581,0.37142857142857144,vit_h_14_swag_e2e,writer_lda
cross_variable_same,0.6385957792207793,0.4155844155844156,vit_h_14_swag_e2e,writer_lda
cross_same_variable,0.6015596011131725,0.4285714285714286,vit_h_14_swag_e2e,writer_lda
cross_same_same,0.6582444341372913,0.3928571428571429,vit_h_14_swag_e2e,writer_lda
arabic_variable_same,0.7598678107606679,0.3392857142857143,dinov2_vitg14_reg,frozen
english_variable_same,0.7032351576994433,0.375,dinov2_vitg14_reg,frozen
cross_variable_variable,0.5882942949907236,0.4642857142857143,dinov2_vitg14_reg,frozen
cross_variable_same,0.5516059833024118,0.46525974025974026,dinov2_vitg14_reg,frozen
cross_same_variable,0.615694573283859,0.40974025974025974,dinov2_vitg14_reg,frozen
cross_same_same,0.6037105751391466,0.4285714285714286,dinov2_vitg14_reg,frozen
arabic_variable_same,0.9157351576994434,0.1785714285714286,dinov2_vitg14_reg,writer_lda
english_variable_same,0.968262987012987,0.1071428571428571,dinov2_vitg14_reg,writer_lda
cross_variable_variable,0.8015132189239332,0.2857142857142857,dinov2_vitg14_reg,writer_lda
cross_variable_same,0.7772669294990723,0.2857142857142857,dinov2_vitg14_reg,writer_lda
cross_same_variable,0.8417207792207791,0.2318181818181818,dinov2_vitg14_reg,writer_lda
cross_same_same,0.8905844155844156,0.1785714285714286,dinov2_vitg14_reg,writer_lda
