model,adaptation,overall_auc,eer,cross_script_macro_auc
dinov2_vitg14_reg,writer_lda,0.8656665507111936,0.2142857142857143,0.82777133580705
dinov2_vitl14_reg,writer_lda,0.8274522972067615,0.25297619047619047,0.7915077110389611
batch_alt_adversarial_mean,task_specific_training,0.7773429715952037,0.2927489177489177,0.7460860196351268
efficientnet_v2_l,writer_lda,0.7669261170377243,0.30952380952380953,0.7257638566790352
vit_b_16_swag_e2e,writer_lda,0.703562570861678,0.35,0.6556847170686456
vit_h_14_swag_e2e,writer_lda,0.6879805710162853,0.36904761904761907,0.6294077574211503
efficientnet_v2_l,frozen,0.6733993313234385,0.375,0.64661844851577
vit_b_16_swag_e2e,frozen,0.6713422490208204,0.3839285714285714,0.6478135146103896
dinov2_vitg14_reg,frozen,0.5828865021387344,0.450487012987013,0.5898263566790353
dinov2_vitl14_reg,frozen,0.5798756055452483,0.4553571428571429,0.5862150684137292
vit_h_14_swag_e2e,frozen,0.5731711245104101,0.45524891774891774,0.5913975533395176
