condition,auc,eer,model
arabic_variable_same,0.7380160018552875,0.3214285714285714,vit_h_14_swag_e2e_frozen
english_variable_same,0.7090851113172542,0.3392857142857143,vit_h_14_swag_e2e_frozen
cross_variable_variable,0.5864448051948051,0.4142857142857143,vit_h_14_swag_e2e_frozen
cross_variable_same,0.5558035714285714,0.45876623376623377,vit_h_14_swag_e2e_frozen
cross_same_variable,0.59479939703154,0.4464285714285714,vit_h_14_swag_e2e_frozen
cross_same_same,0.628542439703154,0.4107142857142857,vit_h_14_swag_e2e_frozen
arabic_variable_same,0.9163381261595548,0.16428571428571428,vit_h_14_swag_e2e_writer_lda
english_variable_same,0.6864679962894248,0.3866883116883117,vit_h_14_swag_e2e_writer_lda
cross_variable_variable,0.6192312152133581,0.37142857142857144,vit_h_14_swag_e2e_writer_lda
cross_variable_same,0.6385957792207793,0.4155844155844156,vit_h_14_swag_e2e_writer_lda
cross_same_variable,0.6015596011131725,0.4285714285714286,vit_h_14_swag_e2e_writer_lda
cross_same_same,0.6582444341372913,0.3928571428571429,vit_h_14_swag_e2e_writer_lda
