writer,raw_variable_fixed_cosine,projected_variable_fixed_cosine,raw_variable_displacement_norm,raw_fixed_displacement_norm,projected_variable_displacement_norm,projected_fixed_displacement_norm
1,0.6802409,0.49896818,0.46619296,0.5100473,0.73815787,0.8280983
2,0.38881347,0.29355285,0.36406115,0.40228748,0.5793847,0.6696373
3,0.5866155,0.38346806,0.4620978,0.52187747,0.5159014,0.6218895
7,0.3615602,0.5426499,0.37709048,0.4403149,0.67156655,0.94934237
8,0.37844843,0.5329464,0.3122301,0.4371917,0.7696772,0.84844005
11,0.36196867,0.2655277,0.3838524,0.3175349,0.7634884,0.5075202
19,-0.21754777,0.10580013,0.5583161,0.449082,0.7713224,0.88777107
20,0.37366852,0.31081977,0.49998614,0.46209285,0.527414,0.61811334
21,0.5150639,0.40694922,0.3085772,0.39629152,0.46983272,0.6659992
22,0.4736749,0.43815187,0.4470466,0.40186176,0.693592,0.6667218
25,0.66247827,0.5182127,0.5330698,0.45134634,0.5414947,0.5757705
26,0.5779214,0.53967,0.4729864,0.43877968,0.87453413,0.6074427
27,0.43602747,0.7893709,0.5308992,0.4859255,0.7563919,0.84093094
29,0.31316534,0.3680121,0.49548402,0.37729317,0.6464556,0.49790287
30,0.3581138,0.42776865,0.2730388,0.3038124,0.5767029,0.57095027
31,0.35839623,0.08360999,0.4582263,0.4308555,0.6498739,0.5040775
38,0.26863888,-0.31838936,0.35890755,0.32074142,0.6187829,0.7074886
39,-0.12120328,-0.37324452,0.38850203,0.51580465,0.54798454,0.41735867
40,0.42386937,0.7387503,0.3973418,0.37209728,0.6661124,0.73748565
46,0.38556176,0.5300737,0.42647156,0.32727647,0.6235176,0.5161868
47,0.045068566,0.14825785,0.3808622,0.278741,0.75063384,0.73586285
49,0.3180547,0.4955646,0.46276286,0.5956704,0.65991133,0.84198874
55,0.54468465,0.11747542,0.48274738,0.39211404,0.53355783,0.57178044
56,0.4450495,0.28726524,0.4185838,0.38143536,0.7813577,0.64583296
57,0.1363402,0.14374469,0.4421908,0.29230496,0.72442675,0.78666097
59,0.13558373,0.5970782,0.5006798,0.435173,0.6618843,1.0195401
61,0.5238243,0.30419993,0.55621725,0.36648974,0.67143315,0.59393436
62,0.19469059,0.36842638,0.4271471,0.50668305,0.56022435,0.97237474
65,0.5160246,0.6483528,0.3754876,0.35986185,0.4881827,0.73231876
70,0.010871684,0.3504095,0.42114457,0.4253577,0.67970794,0.89067286
71,0.30292672,0.03778066,0.3996873,0.38604322,0.6014432,0.4854693
74,0.1335712,-0.14651783,0.38033435,0.35442418,0.33028185,0.54085964
75,0.48321882,0.2959198,0.7050814,0.5858506,0.66179776,0.9344026
76,0.5264378,0.38567898,0.6732629,0.4326787,0.7434121,0.54324037
77,0.1836552,0.18823206,0.6319452,0.34317058,0.88392156,0.60129607
78,0.4712943,0.28185916,0.49544078,0.5058666,0.6858827,0.9204395
81,0.2481556,-0.1186058,0.5374174,0.38323864,0.7088197,0.7835309
83,0.39457524,0.39382905,0.56498396,0.54925704,0.50179154,0.6241398
85,0.50539833,0.15077364,0.4218351,0.6321595,0.54687023,0.8975808
90,0.22556722,0.557716,0.44911253,0.49715188,1.0060049,0.8766385
92,0.4805129,0.47603893,0.5039736,0.4570026,0.59188557,0.61763656
94,0.14827146,0.41966453,0.4771486,0.38615128,0.51735365,0.6096237
96,0.22091575,0.59410584,0.49574256,0.4063266,0.48170468,0.6413278
97,0.5512088,0.5313867,0.72019815,0.7576613,0.43415684,0.51688933
98,0.3997945,0.49480322,0.43558395,0.29012194,0.6568197,0.5526277
100,0.095573716,0.20349725,0.42039892,0.34689274,0.49565065,0.4988555
101,0.34770635,0.589958,0.5962983,0.3809332,0.88918597,0.7993787
103,0.3609013,0.15500434,0.546642,0.3689611,0.69312274,0.74799913
104,0.1760679,0.026182802,0.55253434,0.3880042,0.7583318,0.6422876
105,0.444715,0.58777755,0.4965419,0.38404155,0.81433487,0.87683
107,0.34721777,0.3539046,0.36040214,0.3056578,0.5299171,0.5421024
110,0.39303583,0.17494029,0.48014638,0.4125241,0.6033074,0.92809373
116,0.45838803,0.41745043,0.37452084,0.37212533,0.68153554,0.67032075
118,0.26005566,0.6310091,0.41738206,0.34340394,0.96206903,0.49350238
119,0.6171609,0.24743375,0.48261252,0.40252814,0.51342565,0.71282196
122,0.2950601,0.16301683,0.48899138,0.36796203,0.5662598,0.78260297
123,0.51960844,0.65954465,0.39920804,0.5559542,0.6503888,0.8597636
124,0.46506906,0.76178664,0.4965425,0.34722462,0.6605321,0.6058747
125,0.21867983,0.021964809,0.559162,0.30622163,0.49455175,0.47199273
127,0.19180167,0.23760335,0.4356894,0.4987368,0.4092907,0.7666578
133,0.49165773,0.52467287,0.42682108,0.42260486,0.576343,0.7914496
134,0.34974194,0.61646485,0.4646767,0.4414456,0.8509331,0.7508266
135,0.5868454,0.091766514,0.6792097,0.4411767,0.59797406,0.3868883
