training_seed,model,trial,random_cross_reliance,random_cross_auc_change
123,lambda0_control,0,0.01575385653357087,-0.004482041396103753
123,lambda0_control,1,0.01207073143307976,0.0002340851113172837
123,lambda0_control,2,0.012382993054454302,0.0024227446660483043
123,lambda0_control,3,0.013812474244717933,-0.004273321544526865
123,lambda0_control,4,0.018496499427890743,-0.002680020871985156
123,lambda0_control,5,0.015760153915640274,-0.002275626159554567
123,lambda0_control,6,0.013059903370853816,0.0034413410250463405
123,lambda0_control,7,0.016241160276827177,-0.0035181615259738397
123,lambda0_control,8,0.013773436756922917,-0.0012537685528756226
123,lambda0_control,9,0.011849000143418408,-0.0008435760667903081
123,lambda0_control,10,0.011999033208714888,0.0011504957096475366
123,lambda0_control,11,0.015609068336757783,-0.009674672425788344
123,lambda0_control,12,0.010662227438503898,-0.0017741187384046064
123,lambda0_control,13,0.01442125393501974,-0.001848402713358066
123,lambda0_control,14,0.012014874949707363,-0.008284293831168799
123,lambda0_control,15,0.02251206668836587,-0.004141422193877475
123,lambda0_control,16,0.015277509870200247,-0.0022067775974025094
123,lambda0_control,17,0.01202324321800249,-0.0004993332560295771
123,lambda0_control,18,0.014299718313706408,0.003721808325603093
123,lambda0_control,19,0.01549879733423981,-0.005809369202226189
123,batch_alt_lambda0p5,0,0.010318078809570157,3.297483766218079e-05
123,batch_alt_lambda0p5,1,0.00902966450070382,-0.0019835633116883633
123,batch_alt_lambda0p5,2,0.011497702338462219,-0.00033627087198528915
123,batch_alt_lambda0p5,3,0.010053502637793752,-0.003846460459183687
123,batch_alt_lambda0p5,4,0.011154412693737065,-0.00045874884044527775
123,batch_alt_lambda0p5,5,0.013752605722351869,-0.0006663816094619746
123,batch_alt_lambda0p5,6,0.012000871413064664,0.00019205125231902542
123,batch_alt_lambda0p5,7,0.009895226329284364,0.0007928455473097396
123,batch_alt_lambda0p5,8,0.01707098750421823,-0.0038892190398887028
123,batch_alt_lambda0p5,9,0.01126631598004048,-0.0014182803803340915
123,batch_alt_lambda0p5,10,0.010712284299869788,0.000264523423005536
123,batch_alt_lambda0p5,11,0.0164287075015254,-0.005440123492578941
123,batch_alt_lambda0p5,12,0.009735281894436797,-0.0009425005797775166
123,batch_alt_lambda0p5,13,0.011784524893603139,-0.004867955705009308
123,batch_alt_lambda0p5,14,0.014169557789048458,-0.0014545164656774023
123,batch_alt_lambda0p5,15,0.013651941837246523,-0.0032768291975880937
123,batch_alt_lambda0p5,16,0.018752707108843303,-0.001678455473098417
123,batch_alt_lambda0p5,17,0.010529243712558362,-0.0004888247912803179
123,batch_alt_lambda0p5,18,0.015687758291357077,0.0023419381957328067
123,batch_alt_lambda0p5,19,0.014398199158434476,-0.005916990375695819
2026,lambda0_control,0,0.029289834363968835,0.0023198341836736525
2026,lambda0_control,1,0.012452765437338214,0.0025463097170688176
2026,lambda0_control,2,0.009755799211344398,-0.003945022611317128
2026,lambda0_control,3,0.012053022065175696,-0.0015143060064933822
2026,lambda0_control,4,0.012726525768416543,-0.005431789192949843
2026,lambda0_control,5,0.009509468209806518,-0.002778220663265163
2026,lambda0_control,6,0.01785360750226892,0.002127782931354405
2026,lambda0_control,7,0.01672530574658947,0.0010990404684602106
2026,lambda0_control,8,0.012005909716047463,-0.0004377319109460931
2026,lambda0_control,9,0.009509006562748648,-0.002337589865491707
2026,lambda0_control,10,0.01422586293960584,-0.002776771219851426
2026,lambda0_control,11,0.01296667507461604,-0.00043664482838579044
2026,lambda0_control,12,0.011899889621645642,-0.007091764262523115
2026,lambda0_control,13,0.012249486024633107,-0.0029920135667902414
2026,lambda0_control,14,0.018286885352330074,-0.0020241477272726627
2026,lambda0_control,15,0.01186630223079829,-0.006117013566790397
2026,lambda0_control,16,0.013256415259262407,-0.0033069051484228007
2026,lambda0_control,17,0.010946793269587316,-0.0046422048933209
2026,lambda0_control,18,0.01719661642271084,-0.003239143668831046
2026,lambda0_control,19,0.01041959722627369,-0.0013936398423005647
2026,batch_alt_lambda0p5,0,0.03896122905479519,0.0004839329197589004
2026,batch_alt_lambda0p5,1,0.012484443053519076,-0.002270371927179715
2026,batch_alt_lambda0p5,2,0.011204440190410286,-7.808876391457442e-05
2026,batch_alt_lambda0p5,3,0.009893003328068624,0.0014170121173470163
2026,batch_alt_lambda0p5,4,0.014542786782144374,-0.002260225823283779
2026,batch_alt_lambda0p5,5,0.010339114337046698,-0.0029063152249535484
2026,batch_alt_lambda0p5,6,0.015011314652274005,9.403264146579104e-05
2026,batch_alt_lambda0p5,7,0.01592181461141527,-0.0006404728084413724
2026,batch_alt_lambda0p5,8,0.012293675300497658,-0.0035817558557512674
2026,batch_alt_lambda0p5,9,0.01029405173857645,-0.0017598054846937883
2026,batch_alt_lambda0p5,10,0.009515567188241031,-9.946805426697125e-05
2026,batch_alt_lambda0p5,11,0.02065212585028736,0.00012918164424868817
2026,batch_alt_lambda0p5,12,0.01092341753570414,0.0005748854939704451
2026,batch_alt_lambda0p5,13,0.015874051318536177,-0.0019884551832095587
2026,batch_alt_lambda0p5,14,0.017504960726147375,-0.0009017349837662225
2026,batch_alt_lambda0p5,15,0.009684865688795976,-0.0019746854707791694
2026,batch_alt_lambda0p5,16,0.009128196898545467,-0.0040644205125230926
2026,batch_alt_lambda0p5,17,0.008846129449009319,-0.0029179107722634434
2026,batch_alt_lambda0p5,18,0.009932343014497852,-0.0008401336386826275
2026,batch_alt_lambda0p5,19,0.009021642580990525,0.0015423889726347007
