removed_dimensions,train_script_auc,monitor_script_auc
1,1.0,0.9920987654320989
2,1.0,0.9923456790123457
3,1.0,0.9948148148148148
4,1.0,0.9948148148148148
5,1.0,0.9969135802469136
6,1.0,0.9991358024691358
7,1.0,0.9997530864197531
8,1.0,0.999753086419753
9,1.0,0.9979012345679013
10,1.0,0.9997530864197531
11,1.0,0.9997530864197531
12,1.0,0.9995061728395062
13,1.0,0.9998765432098766
14,1.0,0.9997530864197531
15,1.0,0.9996296296296296
16,1.0,0.9998765432098766
17,1.0,0.999753086419753
18,1.0,1.0
19,1.0,1.0
20,1.0,0.9982716049382716
21,1.0,0.9993827160493827
22,1.0,0.9998765432098766
23,1.0,0.9998765432098766
24,1.0,0.9938271604938272
25,1.0,0.9997530864197531
26,1.0,0.999753086419753
27,1.0,0.999753086419753
28,1.0,0.9993827160493828
29,1.0,1.0
30,1.0,1.0
31,1.0,0.999753086419753
32,1.0,0.9995061728395063
33,1.0,0.998641975308642
34,1.0,0.9977777777777778
35,1.0,0.9925925925925927
36,1.0,0.990246913580247
37,1.0,0.9945679012345678
38,1.0,0.9938271604938271
39,1.0,0.9918518518518518
40,1.0,0.992962962962963
41,1.0,0.9882716049382716
42,1.0,0.9876543209876543
43,1.0,0.9756790123456791
44,1.0,0.9793827160493827
45,1.0,0.9755555555555556
46,1.0,0.9830864197530864
47,1.0,0.9867901234567901
48,1.0,0.99
49,1.0,0.9871604938271604
50,1.0,0.981358024691358
51,1.0,0.9754320987654321
52,1.0,0.9750617283950618
53,1.0,0.9719753086419755
54,1.0,0.9754320987654321
55,1.0,0.9812345679012345
56,1.0,0.9766666666666667
57,1.0,0.9664197530864198
58,1.0,0.9690123456790125
59,1.0,0.9635802469135804
60,1.0,0.9767901234567902
61,1.0,0.9717283950617284
62,0.999992368975306,0.9746913580246914
63,0.999984737950612,0.9676543209876544
64,0.999984737950612,0.9596296296296297
65,0.999977106925918,0.9549382716049383
66,0.999916058728366,0.9546913580246914
67,0.9998855346295901,0.9467901234567901
68,0.9995039833948902,0.9290123456790123
69,0.9992674216293764,0.947283950617284
70,0.9986416776044688,0.9311111111111111
71,0.998046457678337,0.9325925925925926
72,0.9974207136534294,0.9469135802469135
73,0.9965126217148439,0.9290123456790125
74,0.9959021397393242,0.9482716049382716
75,0.9953374439119687,0.9530864197530864
76,0.9950550959982907,0.95320987654321
77,0.9940096456152132,0.95679012345679
78,0.9940554317633772,0.962962962962963
79,0.9936280943805134,0.9533333333333334
80,0.9923231891578401,0.938641975308642
81,0.9909953908610848,0.9592592592592593
82,0.9908351393425109,0.9265432098765433
83,0.9901636091694392,0.9460493827160494
84,0.9878132535636885,0.9572839506172839
85,0.9865465034644852,0.9493827160493827
86,0.9854857910320197,0.9458024691358025
87,0.9839061689203625,0.9480246913580248
88,0.9834864625621929,0.9432098765432099
89,0.9826699429199353,0.9522222222222222
90,0.9816244925368579,0.9500000000000001
91,0.9804493147339823,0.9419753086419753
92,0.9779158145355757,0.944320987654321
93,0.9767787918561704,0.9480246913580247
94,0.9758859619669729,0.9455555555555556
95,0.9737950612008182,0.9430864197530865
96,0.9716354812124173,0.932962962962963
97,0.9693232807301364,0.9340740740740741
98,0.9670187112725496,0.9498765432098766
99,0.9654543512102806,0.942962962962963
100,0.9630582094563657,0.9351851851851851
101,0.960829950245719,0.9338271604938271
102,0.9574875614297488,0.9338271604938272
103,0.9528860535392693,0.917283950617284
104,0.9511843350325081,0.9366666666666666
105,0.9494902475504411,0.9239506172839507
106,0.9459494520924271,0.9197530864197531
107,0.9415692439180734,0.9358024691358026
108,0.9370058911510638,0.9418518518518518
109,0.931061322914441,0.9333333333333335
110,0.9257043435792558,0.9103703703703703
111,0.9209044290467324,0.8980246913580248
112,0.9154253533164434,0.9217283950617284
113,0.9112740758829094,0.9008641975308643
114,0.9070464882024358,0.8791358024691358
115,0.9016589847684748,0.8791358024691358
116,0.895454961692256,0.8855555555555555
117,0.8894951314062453,0.8920987654320988
118,0.8856872500839414,0.8911111111111111
119,0.8802234364030403,0.8761728395061729
120,0.8737675895119197,0.8960493827160494
121,0.8684792893989806,0.8638271604938272
122,0.8591007600500595,0.8935802469135802
123,0.8533774915295628,0.8738271604938271
124,0.8473413509966119,0.8133333333333334
125,0.8438463416867616,0.8051851851851851
126,0.8359482311284758,0.8035802469135803
127,0.8313238301639145,0.824320987654321
128,0.8275235798663045,0.8072839506172839
