experiment_split,condition_id,roc_auc,eer,eer_percent,eer_threshold
validation,all_conditions,0.6737688588693054,0.38988095238095233,38.988095238095234,0.694181895814836
validation,arabic_variable_same,0.7292961502782932,0.3392857142857143,33.92857142857143,0.7190947675704956
validation,english_variable_same,0.7269190630797774,0.32987012987012987,32.98701298701299,0.7224611206488176
validation,cross_variable_variable,0.697988172541744,0.3555194805194805,35.55194805194805,0.7520177147605203
validation,cross_variable_same,0.6250289888682746,0.41915584415584417,41.91558441558442,0.647417828169736
validation,cross_same_variable,0.6433557513914657,0.40844155844155844,40.84415584415584,0.6394356510855935
validation,cross_same_same,0.7099837662337662,0.3392857142857143,33.92857142857143,0.7220918094670331
official_test,all_conditions,0.6923271263092572,0.3635578583765112,36.35578583765112,0.6838711532386573
official_test,arabic_variable_same,0.7780873731509571,0.2901554404145078,29.01554404145078,0.7156495722857389
official_test,english_variable_same,0.7665808422150036,0.3160621761658031,31.606217616580313,0.7145771501642285
official_test,cross_variable_variable,0.6677548530385602,0.3886010362694301,38.86010362694301,0.7216210008686424
official_test,cross_variable_same,0.6315886835888211,0.40414507772020725,40.41450777202073,0.6237378101500254
official_test,cross_same_variable,0.6428050081881392,0.4016623488773748,40.16623488773748,0.6369790521760782
official_test,cross_same_same,0.7426186497176658,0.3337111398963731,33.37111398963731,0.6985960584133863
