epoch,offset,training_loss,genuine_similarity,impostor_similarity,similarity_gap,mean_gradient_norm,max_gradient_norm,skipped_steps,validation_roc_auc,validation_eer_percent,validation_eer_threshold
0,0,,,,,,,0,0.6737688588693054,38.988095238095234,0.694181895814836
1,222,0.19658205190063577,0.7399596226426353,0.624436958964947,0.11552266367768826,1.893671148701718,3.1888887882232666,0,0.7067668876262627,35.8008658008658,0.665949319709431
2,168,0.17778051044561166,0.7648497028688414,0.6072095023319785,0.1576402005368629,1.8491529247217011,2.5657966136932373,0,0.720991403190064,34.46969696969697,0.6391313617879694
3,20,0.16348473015612205,0.7756517381794685,0.5745450774520899,0.2011066607273786,2.007419160583563,3.5456347465515137,0,0.718100407776747,35.124458874458874,0.6717458497394215
4,143,0.1516114718618646,0.810760333211021,0.5874184326524228,0.22334190055859826,1.9700332566311485,2.997812509536743,0,0.7348520279323851,33.03030303030303,0.6512052059173584
5,97,0.15211465440492714,0.8122847676277161,0.5779930816023751,0.234291686025341,2.014224677755122,3.3475661277770996,0,0.7291474212791177,33.625541125541126,0.638302662155845
6,96,0.13901405392494876,0.8071640558474886,0.5319491527908671,0.27521490305662155,2.342264909493296,4.406027317047119,0,0.7381527326839826,33.26839826839827,0.6662278652191163
7,156,0.13081587231264705,0.8433919314262086,0.55963823690483,0.28375369452137855,2.1353523626662136,3.5239455699920654,0,0.7423725456091528,33.333333333333336,0.626687303349212
8,22,0.12670376764989533,0.8305078925548401,0.5224295946876559,0.3080782978671842,2.275826700946741,4.102187633514404,0,0.7441469059214594,32.997835497835496,0.6185125697742809
9,46,0.12553253664379627,0.8436149725344328,0.5310224512245802,0.3125925213098526,2.3869297127974662,4.494201183319092,0,0.7280476158266337,34.226190476190474,0.6290635391020439
10,190,0.11735307590096397,0.8449697212307854,0.4924436645433966,0.3525260566873888,2.3198340252826086,4.2258381843566895,0,0.7227891961708925,34.62121212121212,0.6479549158703197
