rank,english_variable_validation,english_same_test
1,4.424778761061947,3.5398230088495577
2,6.637168141592921,5.752212389380531
3,10.619469026548673,8.849557522123893
4,10.619469026548673,11.504424778761061
5,11.946902654867257,14.15929203539823
6,14.15929203539823,15.04424778761062
7,15.04424778761062,16.371681415929203
8,16.8141592920354,16.371681415929203
9,18.58407079646018,17.699115044247787
10,20.79646017699115,18.141592920353983
11,22.123893805309734,19.469026548672566
12,23.008849557522122,20.79646017699115
13,23.451327433628318,23.008849557522122
14,24.336283185840706,24.336283185840706
15,25.221238938053098,25.221238938053098
16,27.876106194690266,26.10619469026549
17,28.31858407079646,26.10619469026549
18,29.20353982300885,27.876106194690266
19,29.646017699115045,29.646017699115045
20,30.53097345132743,30.973451327433626
21,30.53097345132743,30.973451327433626
22,30.973451327433626,31.41592920353982
23,32.30088495575221,31.858407079646017
24,33.1858407079646,31.858407079646017
25,33.1858407079646,32.30088495575221
26,34.070796460176986,33.1858407079646
27,34.51327433628318,33.6283185840708
28,37.16814159292036,34.070796460176986
29,38.05309734513274,34.51327433628318
30,38.49557522123894,34.95575221238938
31,39.823008849557525,34.95575221238938
32,40.26548672566372,35.84070796460177
33,41.150442477876105,36.72566371681416
34,41.5929203539823,37.16814159292036
35,42.47787610619469,37.16814159292036
36,42.47787610619469,37.610619469026545
37,45.57522123893805,38.49557522123894
38,46.017699115044245,38.93805309734513
39,46.46017699115044,39.823008849557525
40,46.902654867256636,40.26548672566372
41,48.23008849557522,40.707964601769916
42,48.23008849557522,41.150442477876105
43,48.23008849557522,42.47787610619469
44,48.23008849557522,42.92035398230089
45,48.67256637168141,43.36283185840708
46,49.557522123893804,43.80530973451327
47,51.32743362831859,45.13274336283185
48,52.21238938053098,45.13274336283185
49,53.09734513274337,45.57522123893805
50,53.09734513274337,46.902654867256636
51,53.53982300884957,46.902654867256636
52,54.86725663716814,48.67256637168141
53,56.63716814159292,50.0
54,56.63716814159292,50.442477876106196
55,57.52212389380531,50.442477876106196
56,57.52212389380531,50.442477876106196
57,57.9646017699115,50.88495575221239
58,58.849557522123895,50.88495575221239
59,59.73451327433629,51.32743362831859
60,60.17699115044248,51.32743362831859
61,60.17699115044248,51.32743362831859
62,60.17699115044248,51.76991150442478
63,60.61946902654868,52.654867256637175
64,60.61946902654868,52.654867256637175
65,61.06194690265486,53.09734513274337
66,61.06194690265486,53.98230088495575
67,61.06194690265486,54.424778761061944
68,61.504424778761056,54.86725663716814
69,61.94690265486725,55.75221238938053
70,61.94690265486725,56.19469026548673
71,62.38938053097345,57.07964601769911
72,63.27433628318584,58.4070796460177
73,63.27433628318584,58.4070796460177
74,63.27433628318584,58.849557522123895
75,63.716814159292035,58.849557522123895
76,64.60176991150442,59.73451327433629
77,64.60176991150442,60.17699115044248
78,65.48672566371681,60.61946902654868
79,65.929203539823,60.61946902654868
80,65.929203539823,60.61946902654868
81,66.3716814159292,61.504424778761056
82,67.2566371681416,63.27433628318584
83,67.2566371681416,64.15929203539822
84,68.14159292035397,64.60176991150442
85,68.14159292035397,65.48672566371681
86,69.02654867256636,65.929203539823
87,69.46902654867256,67.2566371681416
88,69.46902654867256,68.58407079646017
89,69.91150442477876,68.58407079646017
90,70.35398230088495,69.02654867256636
91,70.35398230088495,69.91150442477876
92,70.35398230088495,71.23893805309734
93,71.68141592920354,71.23893805309734
94,71.68141592920354,71.23893805309734
95,71.68141592920354,72.12389380530973
96,72.12389380530973,72.56637168141593
97,73.00884955752213,72.56637168141593
98,73.00884955752213,72.56637168141593
99,73.45132743362832,73.45132743362832
100,73.89380530973452,73.89380530973452
