condition,predicted_writer_id,prediction_count,prediction_share_percent
english_variable_validation,268,33,14.601769911504425
english_variable_validation,61,20,8.849557522123893
english_variable_validation,139,14,6.1946902654867255
english_variable_validation,247,11,4.867256637168142
english_variable_validation,279,10,4.424778761061947
english_variable_validation,35,10,4.424778761061947
english_variable_validation,246,9,3.982300884955752
english_variable_validation,29,9,3.982300884955752
english_variable_validation,135,8,3.5398230088495577
english_variable_validation,125,8,3.5398230088495577
english_same_test,139,35,15.486725663716813
english_same_test,229,23,10.176991150442479
english_same_test,279,20,8.849557522123893
english_same_test,247,17,7.52212389380531
english_same_test,166,16,7.079646017699115
english_same_test,26,15,6.637168141592921
english_same_test,9,11,4.867256637168142
english_same_test,29,11,4.867256637168142
english_same_test,61,11,4.867256637168142
english_same_test,35,6,2.6548672566371683
