model,condition_id,experiment_split,threshold_source,threshold,far,frr,tar,balanced_accuracy
imagenet,arabic_variable_same,validation,validation_condition_eer,0.94453704,0.37857142857142856,0.375,0.625,0.6232142857142857
imagenet,arabic_variable_same,official_test,validation_condition_eer,0.94453704,0.3333063471502591,0.39378238341968913,0.6062176165803109,0.6364556347150259
imagenet,english_variable_same,validation,validation_condition_eer,0.9343984,0.43506493506493504,0.42857142857142855,0.5714285714285714,0.5681818181818181
imagenet,english_variable_same,official_test,validation_condition_eer,0.9343984,0.4318059153713299,0.2849740932642487,0.7150259067357513,0.6416099956822108
imagenet,cross_variable_variable,validation,validation_condition_eer,0.9610772,0.37727272727272726,0.375,0.625,0.6238636363636363
imagenet,cross_variable_variable,official_test,validation_condition_eer,0.9610772,0.3293123920552677,0.45077720207253885,0.5492227979274611,0.6099552029360966
imagenet,cross_variable_same,validation,validation_condition_eer,0.92726004,0.4827922077922078,0.48214285714285715,0.5178571428571429,0.5175324675324675
imagenet,cross_variable_same,official_test,validation_condition_eer,0.92726004,0.40894861830742657,0.5233160621761658,0.47668393782383417,0.5338676597582038
imagenet,cross_same_variable,validation,validation_condition_eer,0.9314175,0.43603896103896106,0.42857142857142855,0.5714285714285714,0.5676948051948052
imagenet,cross_same_variable,official_test,validation_condition_eer,0.9314175,0.45485211571675305,0.41450777202072536,0.5854922279792746,0.5653200561312608
imagenet,cross_same_same,validation,validation_condition_eer,0.94590515,0.38246753246753246,0.375,0.625,0.6212662337662338
imagenet,cross_same_same,official_test,validation_condition_eer,0.94590515,0.3232674870466321,0.41968911917098445,0.5803108808290155,0.6285216968911918
layer4_finetuned,arabic_variable_same,validation,validation_condition_eer,0.93252766,0.29935064935064937,0.30357142857142855,0.6964285714285714,0.698538961038961
layer4_finetuned,arabic_variable_same,official_test,validation_condition_eer,0.93252766,0.25399395509499134,0.24870466321243523,0.7512953367875648,0.7486506908462867
layer4_finetuned,english_variable_same,validation,validation_condition_eer,0.9276895,0.3399350649350649,0.3392857142857143,0.6607142857142857,0.6603896103896103
layer4_finetuned,english_variable_same,official_test,validation_condition_eer,0.9276895,0.34666450777202074,0.24870466321243523,0.7512953367875648,0.702315414507772
layer4_finetuned,cross_variable_variable,validation,validation_condition_eer,0.9355918,0.3938311688311688,0.39285714285714285,0.6071428571428571,0.6066558441558441
layer4_finetuned,cross_variable_variable,official_test,validation_condition_eer,0.9355918,0.3545174870466321,0.35751295336787564,0.6424870466321243,0.643984779792746
layer4_finetuned,cross_variable_same,validation,validation_condition_eer,0.9102923,0.44675324675324674,0.44642857142857145,0.5535714285714286,0.553409090909091
layer4_finetuned,cross_variable_same,official_test,validation_condition_eer,0.9102923,0.38422927461139894,0.41450777202072536,0.5854922279792746,0.6006314766839378
layer4_finetuned,cross_same_variable,validation,validation_condition_eer,0.91448516,0.4048701298701299,0.4107142857142857,0.5892857142857143,0.5922077922077922
layer4_finetuned,cross_same_variable,official_test,validation_condition_eer,0.91448516,0.4180699481865285,0.35751295336787564,0.6424870466321243,0.6122085492227979
layer4_finetuned,cross_same_same,validation,validation_condition_eer,0.9279006,0.337012987012987,0.3392857142857143,0.6607142857142857,0.6618506493506493
layer4_finetuned,cross_same_same,official_test,validation_condition_eer,0.9279006,0.28416450777202074,0.34196891191709844,0.6580310880829016,0.6869332901554404
