model,experiment_split,threshold_source,target_far,threshold,far,tar,frr,trr,balanced_accuracy
imagenet,validation,validation,0.1,0.9640005,0.0992965367965368,0.21726190476190477,0.7827380952380952,0.9007034632034632,0.5589826839826839
imagenet,official_test,validation,0.1,0.9640005,0.0816152130109384,0.18911917098445596,0.810880829015544,0.9183847869890616,0.5537519789867588
imagenet,validation,validation,0.05,0.96987826,0.0492965367965368,0.13988095238095238,0.8601190476190477,0.9507034632034632,0.5452922077922078
imagenet,official_test,validation,0.05,0.96987826,0.03912097006332758,0.09153713298791019,0.9084628670120898,0.9608790299366724,0.5262080814622913
imagenet,validation,validation,0.01,0.978928,0.009253246753246753,0.03273809523809524,0.9672619047619048,0.9907467532467532,0.5117424242424242
imagenet,official_test,validation,0.01,0.978928,0.006903965169833046,0.018134715025906734,0.9818652849740933,0.993096034830167,0.5056153749280369
imagenet,validation,validation,0.001,0.986227,0.00091991341991342,0.002976190476190476,0.9970238095238095,0.9990800865800866,0.5010281385281385
imagenet,official_test,validation,0.001,0.986227,0.0005847006332757628,0.0034542314335060447,0.9965457685664939,0.9994152993667242,0.5014347654001151
layer4_finetuned,validation,validation,0.1,0.94902194,0.0979978354978355,0.3244047619047619,0.6755952380952381,0.9020021645021645,0.6132034632034632
layer4_finetuned,official_test,validation,0.1,0.94902194,0.08308146229130685,0.28756476683937826,0.7124352331606217,0.9169185377086931,0.6022416522740357
layer4_finetuned,validation,validation,0.05,0.9560823,0.048214285714285716,0.2113095238095238,0.7886904761904762,0.9517857142857142,0.581547619047619
layer4_finetuned,official_test,validation,0.05,0.9560823,0.03927389176741508,0.17012089810017272,0.8298791018998273,0.9607261082325849,0.5654235031663788
layer4_finetuned,validation,validation,0.01,0.9668861,0.009956709956709957,0.07738095238095238,0.9226190476190477,0.9900432900432901,0.5337121212121212
layer4_finetuned,official_test,validation,0.01,0.9668861,0.007434693436960276,0.045768566493955096,0.9542314335060449,0.9925653065630398,0.5191669365284974
layer4_finetuned,validation,validation,0.001,0.9761205,0.0008116883116883117,0.008928571428571428,0.9910714285714286,0.9991883116883117,0.5040584415584416
layer4_finetuned,official_test,validation,0.001,0.9761205,0.000778101611974669,0.009499136442141624,0.9905008635578584,0.9992218983880253,0.5043605174150835
