writer_a,impostor_pairs,distinct_negative_writers
1,10,10
2,10,10
3,10,10
5,10,10
6,10,10
7,10,10
8,10,10
9,10,10
10,10,10
11,10,10
12,10,10
15,10,10
18,10,10
19,10,10
20,10,10
21,10,10
22,10,10
25,10,10
26,10,10
27,10,10
28,10,10
29,10,10
30,10,10
31,10,10
32,10,10
33,10,10
34,10,10
35,10,10
38,10,10
39,10,10
40,10,10
42,10,10
43,10,10
44,10,10
46,10,10
47,10,10
49,10,10
51,10,10
54,10,10
55,10,10
56,10,10
57,10,10
59,10,10
60,10,10
61,10,10
62,10,10
63,10,10
65,10,10
66,10,10
67,10,10
68,10,10
69,10,10
70,10,10
71,10,10
73,10,10
74,10,10
75,10,10
76,10,10
77,10,10
78,10,10
79,10,10
81,10,10
83,10,10
85,10,10
86,10,10
87,10,10
89,10,10
90,10,10
91,10,10
92,10,10
93,10,10
94,10,10
95,10,10
96,10,10
97,10,10
98,10,10
100,10,10
101,10,10
103,10,10
104,10,10
105,10,10
106,10,10
107,10,10
109,10,10
110,10,10
114,10,10
116,10,10
118,10,10
119,10,10
121,10,10
122,10,10
123,10,10
124,10,10
125,10,10
127,10,10
128,10,10
129,10,10
130,10,10
131,10,10
132,10,10
133,10,10
134,10,10
135,10,10
138,10,10
139,10,10
140,10,10
142,10,10
144,10,10
145,10,10
146,10,10
147,10,10
148,10,10
150,10,10
152,10,10
153,10,10
154,10,10
155,10,10
156,10,10
157,10,10
158,10,10
159,10,10
160,10,10
161,10,10
162,10,10
163,10,10
164,10,10
165,10,10
166,10,10
167,10,10
168,10,10
169,10,10
170,10,10
171,10,10
172,10,10
174,10,10
176,10,10
178,10,10
179,10,10
180,10,10
181,10,10
183,10,10
185,10,10
188,10,10
189,10,10
191,10,10
192,10,10
193,10,10
196,10,10
197,10,10
198,10,10
199,10,10
200,10,10
201,10,10
202,10,10
203,10,10
204,10,10
205,10,10
206,10,10
207,10,10
208,10,10
209,10,10
210,10,10
211,10,10
212,10,10
213,10,10
214,10,10
216,10,10
218,10,10
219,10,10
220,10,10
221,10,10
222,10,10
223,10,10
224,10,10
225,10,10
226,10,10
227,10,10
228,10,10
229,10,10
231,10,10
232,10,10
234,10,10
235,10,10
237,10,10
238,10,10
239,10,10
240,10,10
241,10,10
242,10,10
243,10,10
244,10,10
245,10,10
246,10,10
247,10,10
248,10,10
249,10,10
250,10,10
251,10,10
252,10,10
253,10,10
254,10,10
255,10,10
256,10,10
257,10,10
258,10,10
260,10,10
261,10,10
262,10,10
263,10,10
264,10,10
265,10,10
266,10,10
267,10,10
268,10,10
269,10,10
270,10,10
271,10,10
272,10,10
273,10,10
274,10,10
276,10,10
277,10,10
278,10,10
279,10,10
281,10,10
282,10,10
