experiment_split,model,condition_id,roc_auc,eer,eer_percent,eer_threshold,genuine_mean,genuine_std,impostor_mean,impostor_std,score_gap,genuine_pairs,impostor_pairs
validation,imagenet,all_conditions,0.6123793740981242,0.43154761904761907,43.154761904761905,0.9397453546524048,0.9402475,0.028977904,0.9272867,0.035186242,0.012960792,336,18480
validation,imagenet,arabic_variable_same,0.6638914656771799,0.37857142857142856,37.857142857142854,0.9445486783981323,0.9454561,0.026651641,0.9296428,0.032086574,0.015813291,56,3080
validation,imagenet,english_variable_same,0.6219619666048238,0.43506493506493504,43.506493506493506,0.9343998432159424,0.9347083,0.027162721,0.91911656,0.037980575,0.015591741,56,3080
validation,imagenet,cross_variable_variable,0.6526988636363636,0.37727272727272726,37.72727272727273,0.9610780705105174,0.9607972,0.019505037,0.94742876,0.028596658,0.013368428,56,3080
validation,imagenet,cross_variable_same,0.5671150278293136,0.4821428571428571,48.21428571428571,0.9273094087839127,0.9273035,0.027326927,0.91923034,0.03181625,0.008073151,56,3080
validation,imagenet,cross_same_variable,0.56944573283859,0.43603896103896106,43.603896103896105,0.9314763741059737,0.9269349,0.030335693,0.917035,0.038257435,0.009899914,56,3080
validation,imagenet,cross_same_same,0.6551484230055659,0.38246753246753246,38.246753246753244,0.9459187832745639,0.94628483,0.026103798,0.9312667,0.03160435,0.0150181055,56,3080
validation,layer4_finetuned,all_conditions,0.6748499020820451,0.3667207792207792,36.672077922077925,0.9251571893692017,0.92995274,0.029639231,0.9093689,0.035202537,0.020583868,336,18480
validation,layer4_finetuned,arabic_variable_same,0.7544758812615956,0.3035714285714286,30.35714285714286,0.9321850741163213,0.94082874,0.029770339,0.9126549,0.03458692,0.028173864,56,3080
validation,layer4_finetuned,english_variable_same,0.7155960111317253,0.3392857142857143,33.92857142857143,0.9277405937512716,0.9334022,0.025288725,0.9092738,0.035316497,0.024128377,56,3080
validation,layer4_finetuned,cross_variable_variable,0.6801136363636363,0.3928571428571429,39.28571428571429,0.935674324268248,0.9418688,0.025349723,0.9226869,0.031814255,0.019181907,56,3080
validation,layer4_finetuned,cross_variable_same,0.6119318181818182,0.4464285714285714,44.64285714285714,0.9103173304881368,0.91541,0.027345804,0.9026692,0.031224824,0.012740791,56,3080
validation,layer4_finetuned,cross_same_variable,0.6272031539888683,0.4048701298701299,40.48701298701299,0.9144748568534851,0.9162776,0.030483427,0.8995003,0.03796283,0.016777277,56,3080
validation,layer4_finetuned,cross_same_same,0.6995013914656772,0.337012987012987,33.7012987012987,0.9278994213451038,0.93192846,0.027402306,0.9094286,0.035114583,0.02249986,56,3080
official_test,imagenet,all_conditions,0.6352781100169977,0.40173431203223947,40.17343120322395,0.9396219154198965,0.93976116,0.029094609,0.92533386,0.03481168,0.014427304,1158,222336
official_test,imagenet,arabic_variable_same,0.6951531696600356,0.36269430051813467,36.269430051813465,0.9427599509557089,0.94554067,0.02359086,0.9267418,0.03191985,0.018798888,193,37056
official_test,imagenet,english_variable_same,0.7015033121694542,0.3489043609671848,34.89043609671848,0.9397399279599389,0.9417117,0.02365269,0.9213774,0.034189183,0.020334303,193,37056
official_test,imagenet,cross_variable_variable,0.6288108545419563,0.39896373056994816,39.89637305699482,0.9573972357643975,0.9556388,0.023554614,0.94396,0.031276613,0.011678815,193,37056
official_test,imagenet,cross_variable_same,0.5649207165516748,0.46605138169257343,46.605138169257344,0.9234791932006677,0.9222678,0.028369553,0.91551024,0.030912567,0.0067575574,193,37056
official_test,imagenet,cross_same_variable,0.5878196114884515,0.4248704663212435,42.48704663212435,0.933706929606776,0.92823327,0.03416874,0.9185215,0.037516464,0.009711742,193,37056
official_test,imagenet,cross_same_same,0.685514977471431,0.37823834196891193,37.82383419689119,0.9421673587390355,0.9451745,0.026044581,0.9258917,0.0351319,0.019282818,193,37056
official_test,layer4_finetuned,all_conditions,0.7068260046969941,0.3515351642549688,35.153516425496875,0.9240154074263697,0.9300544,0.02904936,0.9062976,0.036027264,0.023756802,1158,222336
official_test,layer4_finetuned,arabic_variable_same,0.8062123591684789,0.2538050518134715,25.38050518134715,0.9325464488938451,0.94157845,0.022537038,0.908248,0.033927154,0.03333044,193,37056
official_test,layer4_finetuned,english_variable_same,0.7865048949859951,0.27461139896373055,27.461139896373055,0.9331211722086347,0.9399675,0.022766149,0.9095305,0.03472718,0.030436993,193,37056
official_test,layer4_finetuned,cross_variable_variable,0.67255993169839,0.3575129533678757,35.75129533678757,0.9353789704861027,0.937229,0.027123814,0.91821396,0.035386026,0.019015014,193,37056
official_test,layer4_finetuned,cross_variable_same,0.6304361778168541,0.3937823834196891,39.37823834196891,0.9095038449348405,0.9108245,0.028861294,0.8967669,0.033624273,0.014057577,193,37056
official_test,layer4_finetuned,cross_same_variable,0.6527636787788487,0.3886010362694301,38.86010362694301,0.9168846540980868,0.91889757,0.031210905,0.90077096,0.037185073,0.018126607,193,37056
official_test,layer4_finetuned,cross_same_same,0.7343401137166993,0.3160621761658031,31.606217616580313,0.9252682207595735,0.9318302,0.02672477,0.90425557,0.03719486,0.027574658,193,37056
